school_year,school_year_offset,sis_user_id,student_label,grade_level,course_id,course_name,course_track,section_id,teacher_id,attendance_category,boy_assignment_label,eoy_assignment_label,boy_score,eoy_score,present_boy,present_eoy,observed_growth_delta,modeled_eoy_growth_delta,latent_readiness_after_boy,latent_readiness_after_eoy,latent_eoy_transition_delta,growth_band
2025-2026,0,SYN-SIS-000161,Synthetic Student 161,11,MATH-AP-PRECALC,AP Precalculus,ap,Y00-SEC-018,TCH-004,normal,Assignment 01,Assignment 02,47.54,55.87,true,true,8.329999999999998,8.33,46.71,53.2419,6.5319,positive_growth
2025-2026,0,SYN-SIS-000167,Synthetic Student 167,9,MATH-GEOM,Geometry,regular,Y00-SEC-005,TCH-001,normal,Assignment 01,Assignment 02,69.93,0.0,true,false,,,71.4,73.3816,1.9816,absent_eoy
2025-2026,0,SYN-SIS-000203,Synthetic Student 203,11,MATH-PRECALC,Precalculus,regular,Y00-SEC-020,TCH-004,high,Assignment 01,Assignment 02,43.85,46.42,true,true,2.5700000000000003,2.57,44.77,47.369,2.599,stable
2025-2026,0,SYN-SIS-000214,Synthetic Student 214,12,MATH-AP-CALC-AB,AP Calculus AB,ap,Y00-SEC-022,TCH-005,normal,Assignment 01,Assignment 02,29.63,40.98,true,true,11.349999999999998,11.35,37.26,40.4013,3.1413,positive_growth
2025-2026,0,SYN-SIS-000225,Synthetic Student 225,9,MATH-ALG1,Algebra 1,regular,Y00-SEC-001,TCH-001,normal,Assignment 01,Assignment 02,43.02,53.35,true,true,10.329999999999998,10.33,45.11,53.7598,8.6498,positive_growth
2025-2026,0,SYN-SIS-000234,Synthetic Student 234,10,MATH-ALG2,Algebra 2,regular,Y00-SEC-009,TCH-002,normal,Assignment 01,Assignment 02,52.11,0.0,true,false,,,45.6,52.4985,6.8985,absent_eoy
2025-2026,0,SYN-SIS-000237,Synthetic Student 237,10,MATH-ALG2-H,Honors Algebra 2,honors,Y00-SEC-015,TCH-003,normal,Assignment 01,Assignment 02,27.93,39.96,true,true,12.030000000000001,12.03,32.01,41.9071,9.8971,positive_growth
2025-2026,0,SYN-SIS-000248,Synthetic Student 248,12,MATH-AP-CALC-AB,AP Calculus AB,ap,Y00-SEC-022,TCH-005,high,Assignment 01,Assignment 02,32.84,42.81,true,true,9.969999999999999,9.97,34.43,41.2022,6.7722,positive_growth
2025-2026,0,SYN-SIS-000260,Synthetic Student 260,9,MATH-GEOM,Geometry,regular,Y00-SEC-003,TCH-002,high,Assignment 01,Assignment 02,91.75,92.97,true,true,1.2199999999999989,1.22,90.59,95.256,4.666,stable
2025-2026,0,SYN-SIS-000261,Synthetic Student 261,9,MATH-GEOM,Geometry,regular,Y00-SEC-004,TCH-002,at_risk,Assignment 01,Assignment 02,34.15,45.17,true,true,11.020000000000003,11.02,40.05,43.3676,3.3176,positive_growth
2025-2026,0,SYN-SIS-000265,Synthetic Student 265,9,MATH-GEOM,Geometry,regular,Y00-SEC-004,TCH-002,high,Assignment 01,Assignment 02,10.02,19.73,true,true,9.71,9.71,10.68,23.4781,12.7981,positive_growth
2025-2026,0,SYN-SIS-000270,Synthetic Student 270,9,MATH-GEOM,Geometry,regular,Y00-SEC-004,TCH-002,high,Assignment 01,Assignment 02,51.65,61.14,true,true,9.490000000000002,9.49,54.47,57.7861,3.3161,positive_growth
2025-2026,0,SYN-SIS-000274,Synthetic Student 274,9,MATH-ALG2-H,Honors Algebra 2,honors,Y00-SEC-014,TCH-003,high,Assignment 01,Assignment 02,18.84,30.85,true,true,12.010000000000002,12.01,22.22,31.946,9.726,positive_growth
2026-2027,1,SYN-SIS-000029,Synthetic Student 029,10,MATH-ALG2,Algebra 2,regular,Y01-SEC-006,TCH-002,high,Assignment 03,Assignment 04,49.17,55.4,true,true,6.229999999999997,6.23,49.096,55.5545,6.4585,positive_growth
2026-2027,1,SYN-SIS-000031,Synthetic Student 031,10,MATH-AP-PRECALC,AP Precalculus,ap,Y01-SEC-016,TCH-004,high,Assignment 03,Assignment 04,65.44,74.47,true,true,9.030000000000001,9.03,67.1385,75.6063,8.4678,positive_growth
2026-2027,1,SYN-SIS-000033,Synthetic Student 033,11,MATH-PRECALC,Precalculus,regular,Y01-SEC-018,TCH-003,at_risk,Assignment 03,Assignment 04,42.58,51.3,true,true,8.719999999999999,8.72,42.1377,48.9863,6.8486,positive_growth
2026-2027,1,SYN-SIS-000039,Synthetic Student 039,10,MATH-ALG2,Algebra 2,regular,Y01-SEC-006,TCH-002,normal,Assignment 03,Assignment 04,37.39,0.0,true,false,,,38.7905,47.6328,8.8423,absent_eoy
2026-2027,1,SYN-SIS-000051,Synthetic Student 051,10,MATH-AP-CALC-AB,AP Calculus AB,ap,Y01-SEC-021,TCH-005,high,Assignment 03,Assignment 04,68.15,66.34,true,true,-1.8100000000000023,-1.81,62.456,68.0802,5.6242,stable
2026-2027,1,SYN-SIS-000052,Synthetic Student 052,11,MATH-ALG2-H,Honors Algebra 2,honors,Y01-SEC-010,TCH-003,high,Assignment 03,Assignment 04,67.55,68.34,true,true,0.7900000000000063,0.79,64.3432,69.1442,4.801,stable
2026-2027,1,SYN-SIS-000062,Synthetic Student 062,10,MATH-ALG2-H,Honors Algebra 2,honors,Y01-SEC-011,TCH-003,at_risk,Assignment 03,Assignment 04,77.41,0.0,true,false,,,70.343,71.926,1.583,absent_eoy
2026-2027,1,SYN-SIS-000079,Synthetic Student 079,11,MATH-PRECALC,Precalculus,regular,Y01-SEC-017,TCH-003,high,Assignment 03,Assignment 04,66.6,76.03,true,true,9.430000000000007,9.43,71.1915,77.9685,6.777,positive_growth
2026-2027,1,SYN-SIS-000080,Synthetic Student 080,11,MATH-AP-CALC-AB,AP Calculus AB,ap,Y01-SEC-021,TCH-005,at_risk,Assignment 03,Assignment 04,28.52,37.33,true,true,8.809999999999999,8.81,30.1458,38.1332,7.9874,positive_growth
2026-2027,1,SYN-SIS-000084,Synthetic Student 084,10,MATH-ALG2-H,Honors Algebra 2,honors,Y01-SEC-012,TCH-003,normal,Assignment 03,Assignment 04,64.22,0.0,true,false,,,61.7037,65.3789,3.6752,absent_eoy
2026-2027,1,SYN-SIS-000085,Synthetic Student 085,10,MATH-ALG2-H,Honors Algebra 2,honors,Y01-SEC-012,TCH-003,high,Assignment 03,Assignment 04,60.35,65.72,true,true,5.369999999999997,5.37,59.7077,62.5215,2.8138,positive_growth
2026-2027,1,SYN-SIS-000086,Synthetic Student 086,10,MATH-GEOM,Geometry,regular,Y01-SEC-003,TCH-001,high,Assignment 03,Assignment 04,58.0,64.07,true,true,6.069999999999993,6.07,59.1965,65.3674,6.1709,positive_growth
2026-2027,1,SYN-SIS-000107,Synthetic Student 107,12,MATH-AP-CALC-BC,AP Calculus BC,ap,Y01-SEC-023,TCH-005,normal,Assignment 03,Assignment 04,32.91,41.55,true,true,8.64,8.64,30.4794,37.3192,6.8398,positive_growth
2026-2027,1,SYN-SIS-000110,Synthetic Student 110,11,MATH-ALG2-H,Honors Algebra 2,honors,Y01-SEC-011,TCH-003,high,Assignment 03,Assignment 04,75.92,79.51,true,true,3.5900000000000034,3.59,74.1701,78.5321,4.362,stable
2026-2027,1,SYN-SIS-000119,Synthetic Student 119,10,MATH-ALG2,Algebra 2,regular,Y01-SEC-009,TCH-002,high,Assignment 03,Assignment 04,41.88,48.67,true,true,6.789999999999999,6.79,43.3,50.4546,7.1546,positive_growth
2026-2027,1,SYN-SIS-000139,Synthetic Student 139,12,MATH-AP-CALC-BC,AP Calculus BC,ap,Y01-SEC-022,TCH-005,normal,Assignment 03,Assignment 04,42.62,44.92,true,true,2.3000000000000043,2.3,43.1348,50.4144,7.2796,stable
2026-2027,1,SYN-SIS-000151,Synthetic Student 151,10,MATH-ALG2-H,Honors Algebra 2,honors,Y01-SEC-011,TCH-003,at_risk,Assignment 03,Assignment 04,66.44,67.59,true,true,1.1500000000000057,1.15,63.8712,68.3885,4.5173,stable
2026-2027,1,SYN-SIS-000152,Synthetic Student 152,11,MATH-AP-CALC-AB,AP Calculus AB,ap,Y01-SEC-021,TCH-005,normal,Assignment 03,Assignment 04,69.93,71.38,true,true,1.4499999999999886,1.45,72.0157,74.2554,2.2397,stable
2026-2027,1,SYN-SIS-000154,Synthetic Student 154,12,MATH-AP-PRECALC,AP Precalculus,ap,Y01-SEC-016,TCH-004,high,Assignment 03,Assignment 04,94.73,93.12,true,true,-1.6099999999999994,-1.61,92.7491,92.7599,0.0108,stable
2026-2027,1,SYN-SIS-000176,Synthetic Student 176,11,MATH-AP-CALC-AB,AP Calculus AB,ap,Y01-SEC-020,TCH-005,high,Assignment 03,Assignment 04,23.57,34.1,true,true,10.530000000000001,10.53,26.5173,34.6899,8.1726,positive_growth
2026-2027,1,SYN-SIS-000193,Synthetic Student 193,10,MATH-ALG2-H,Honors Algebra 2,honors,Y01-SEC-012,TCH-003,normal,Assignment 03,Assignment 04,0.0,76.52,false,true,,-1.97,68.1142,76.8974,8.7832,first_evidence_eoy
2026-2027,1,SYN-SIS-000203,Synthetic Student 203,12,MATH-AP-CALC-AB,AP Calculus AB,ap,Y01-SEC-021,TCH-005,high,Assignment 03,Assignment 04,45.42,55.7,true,true,10.280000000000001,10.28,45.924,49.5513,3.6273,positive_growth
2026-2027,1,SYN-SIS-000204,Synthetic Student 204,10,MATH-GEOM,Geometry,regular,Y01-SEC-002,TCH-002,high,Assignment 03,Assignment 04,44.19,54.43,true,true,10.240000000000002,10.24,44.2769,51.2601,6.9832,positive_growth
2026-2027,1,SYN-SIS-000215,Synthetic Student 215,10,MATH-ALG2-H,Honors Algebra 2,honors,Y01-SEC-012,TCH-003,high,Assignment 03,Assignment 04,55.44,57.48,true,true,2.039999999999999,2.04,55.4549,61.503,6.0481,stable
2026-2027,1,SYN-SIS-000223,Synthetic Student 223,12,MATH-AP-CALC-BC,AP Calculus BC,ap,Y01-SEC-023,TCH-005,normal,Assignment 03,Assignment 04,22.22,0.0,true,false,,,18.6725,24.5378,5.8653,absent_eoy
2026-2027,1,SYN-SIS-000241,Synthetic Student 241,11,MATH-AP-PRECALC,AP Precalculus,ap,Y01-SEC-016,TCH-004,normal,Assignment 03,Assignment 04,66.93,76.18,true,true,9.25,9.25,72.5653,74.3295,1.7642,positive_growth
2026-2027,1,SYN-SIS-000246,Synthetic Student 246,10,MATH-ALG2,Algebra 2,regular,Y01-SEC-008,TCH-002,high,Assignment 03,Assignment 04,29.73,33.05,true,true,3.3199999999999967,3.32,31.1411,38.1724,7.0313,stable
2026-2027,1,SYN-SIS-000249,Synthetic Student 249,11,MATH-PRECALC,Precalculus,regular,Y01-SEC-018,TCH-003,normal,Assignment 03,Assignment 04,29.45,33.65,true,true,4.199999999999999,4.2,31.6954,35.53,3.8346,stable
2026-2027,1,SYN-SIS-000272,Synthetic Student 272,12,MATH-AP-PRECALC,AP Precalculus,ap,Y01-SEC-015,TCH-004,normal,Assignment 03,Assignment 04,71.11,0.0,true,false,,,72.6617,79.1416,6.4799,absent_eoy
2026-2027,1,SYN-SIS-000273,Synthetic Student 273,11,MATH-ALG2-H,Honors Algebra 2,honors,Y01-SEC-012,TCH-003,at_risk,Assignment 03,Assignment 04,61.04,72.17,true,true,11.130000000000003,11.13,64.0929,72.9714,8.8785,positive_growth
2026-2027,1,SYN-SIS-000276,Synthetic Student 276,12,MATH-AP-CALC-AB,AP Calculus AB,ap,Y01-SEC-021,TCH-005,normal,Assignment 03,Assignment 04,38.62,49.13,true,true,10.510000000000005,10.51,42.1116,46.1939,4.0823,positive_growth
2026-2027,1,SYN-SIS-000278,Synthetic Student 278,11,MATH-ALG2-H,Honors Algebra 2,honors,Y01-SEC-011,TCH-003,high,Assignment 03,Assignment 04,95.77,97.03,true,true,1.2600000000000051,1.26,93.7382,95.6496,1.9114,stable
2026-2027,1,SYN-SIS-000286,Synthetic Student 286,12,MATH-ALG2,Algebra 2,regular,Y01-SEC-008,TCH-002,at_risk,Assignment 03,Assignment 04,0.0,45.99,false,true,,4.04,34.6999,42.628,7.9281,first_evidence_eoy
2026-2027,1,SYN-SIS-000290,Synthetic Student 290,9,MATH-ALG1,Algebra 1,regular,Y01-SEC-001,TCH-001,high,Assignment 03,Assignment 04,4.91,13.74,true,true,8.83,8.83,11.15,18.3382,7.1882,positive_growth
2026-2027,1,SYN-SIS-000303,Synthetic Student 303,9,MATH-GEOM,Geometry,regular,Y01-SEC-005,TCH-001,high,Assignment 03,Assignment 04,35.44,46.31,true,true,10.870000000000005,10.87,38.07,45.5786,7.5086,positive_growth
2026-2027,1,SYN-SIS-000304,Synthetic Student 304,9,MATH-GEOM,Geometry,regular,Y01-SEC-002,TCH-002,normal,Assignment 03,Assignment 04,47.2,46.82,true,true,-0.38000000000000256,-0.38,45.32,47.9368,2.6168,stable
2026-2027,1,SYN-SIS-000305,Synthetic Student 305,9,MATH-GEOM,Geometry,regular,Y01-SEC-002,TCH-002,normal,Assignment 03,Assignment 04,43.17,49.84,true,true,6.670000000000002,6.67,44.02,46.9878,2.9678,positive_growth
2026-2027,1,SYN-SIS-000315,Synthetic Student 315,9,MATH-ALG1,Algebra 1,regular,Y01-SEC-001,TCH-001,normal,Assignment 03,Assignment 04,38.67,51.93,true,true,13.259999999999998,13.26,37.94,45.2527,7.3127,positive_growth
2026-2027,1,SYN-SIS-000320,Synthetic Student 320,9,MATH-GEOM,Geometry,regular,Y01-SEC-003,TCH-001,high,Assignment 03,Assignment 04,27.85,29.12,true,true,1.2699999999999996,1.27,28.22,33.179,4.959,stable
2026-2027,1,SYN-SIS-000321,Synthetic Student 321,9,MATH-ALG1,Algebra 1,regular,Y01-SEC-001,TCH-001,high,Assignment 03,Assignment 04,34.65,35.58,true,true,0.9299999999999997,0.93,33.69,38.7845,5.0945,stable
2026-2027,1,SYN-SIS-000328,Synthetic Student 328,9,MATH-GEOM,Geometry,regular,Y01-SEC-004,TCH-002,at_risk,Assignment 03,Assignment 04,67.97,0.0,true,false,,,68.67,77.6581,8.9881,absent_eoy
2026-2027,1,SYN-SIS-000338,Synthetic Student 338,9,MATH-ALG1,Algebra 1,regular,Y01-SEC-001,TCH-001,normal,Assignment 03,Assignment 04,61.4,54.22,true,true,-7.18,-7.18,57.63,57.4559,-0.1741,negative_growth
2026-2027,1,SYN-SIS-000346,Synthetic Student 346,9,MATH-GEOM,Geometry,regular,Y01-SEC-004,TCH-002,normal,Assignment 03,Assignment 04,6.28,22.21,true,true,15.93,15.93,8.1,18.5567,10.4567,large_positive_growth
2027-2028,2,SYN-SIS-000058,Synthetic Student 058,11,MATH-AP-PRECALC,AP Precalculus,ap,Y02-SEC-012,TCH-004,high,Assignment 05,Assignment 06,59.38,61.07,true,true,1.6899999999999977,1.69,58.8661,63.4586,4.5925,stable
2027-2028,2,SYN-SIS-000059,Synthetic Student 059,12,MATH-AP-CALC-AB,AP Calculus AB,ap,Y02-SEC-017,TCH-005,normal,Assignment 05,Assignment 06,24.35,30.68,true,true,6.329999999999998,6.33,23.5204,27.7396,4.2192,positive_growth
2027-2028,2,SYN-SIS-000061,Synthetic Student 061,12,MATH-AP-CALC-AB,AP Calculus AB,ap,Y02-SEC-018,TCH-005,normal,Assignment 05,Assignment 06,27.85,34.34,true,true,6.490000000000002,6.49,26.8881,36.8475,9.9594,positive_growth
2027-2028,2,SYN-SIS-000067,Synthetic Student 067,12,MATH-BEYOND-CORE,Beyond Core Math Sequence,beyond_core,Y02-SEC-024,TCH-004,normal,Assignment 05,Assignment 06,36.74,43.82,true,true,7.079999999999998,7.08,38.798,48.1582,9.3602,positive_growth
2027-2028,2,SYN-SIS-000070,Synthetic Student 070,11,MATH-PRECALC,Precalculus,regular,Y02-SEC-014,TCH-003,normal,Assignment 05,Assignment 06,50.84,66.21,true,true,15.36999999999999,15.37,52.2231,62.8614,10.6383,large_positive_growth
2027-2028,2,SYN-SIS-000078,Synthetic Student 078,12,MATH-AP-CALC-BC,AP Calculus BC,ap,Y02-SEC-022,TCH-005,high,Assignment 05,Assignment 06,42.71,46.32,true,true,3.6099999999999994,3.61,42.5973,47.913,5.3157,stable
2027-2028,2,SYN-SIS-000086,Synthetic Student 086,11,MATH-ALG2-H,Honors Algebra 2,honors,Y02-SEC-009,TCH-003,high,Assignment 05,Assignment 06,65.29,70.27,true,true,4.97999999999999,4.98,63.2525,68.5641,5.3116,stable
2027-2028,2,SYN-SIS-000094,Synthetic Student 094,12,MATH-AP-CALC-AB,AP Calculus AB,ap,Y02-SEC-020,TCH-005,normal,Assignment 05,Assignment 06,64.9,0.0,true,false,,,68.1577,74.5502,6.3925,absent_eoy
2027-2028,2,SYN-SIS-000119,Synthetic Student 119,11,MATH-PRECALC,Precalculus,regular,Y02-SEC-016,TCH-004,high,Assignment 05,Assignment 06,40.83,49.74,true,true,8.910000000000004,8.91,47.3713,50.4735,3.1022,positive_growth
2027-2028,2,SYN-SIS-000132,Synthetic Student 132,12,MATH-AP-CALC-BC,AP Calculus BC,ap,Y02-SEC-023,TCH-005,normal,Assignment 05,Assignment 06,67.02,75.32,true,true,8.299999999999997,8.3,66.8336,71.0787,4.2451,positive_growth
2027-2028,2,SYN-SIS-000142,Synthetic Student 142,11,MATH-ALG2,Algebra 2,regular,Y02-SEC-006,TCH-002,normal,Assignment 05,Assignment 06,40.58,0.0,true,false,,,41.6769,42.5328,0.8559,absent_eoy
2027-2028,2,SYN-SIS-000145,Synthetic Student 145,12,MATH-PRECALC,Precalculus,regular,Y02-SEC-016,TCH-004,normal,Assignment 05,Assignment 06,22.76,30.28,true,true,7.52,7.52,23.0418,28.8543,5.8125,positive_growth
2027-2028,2,SYN-SIS-000157,Synthetic Student 157,11,MATH-AP-PRECALC,AP Precalculus,ap,Y02-SEC-011,TCH-004,high,Assignment 05,Assignment 06,62.21,61.41,true,true,-0.8000000000000043,-0.8,62.6201,62.425,-0.1951,stable
2027-2028,2,SYN-SIS-000159,Synthetic Student 159,12,MATH-AP-CALC-AB,AP Calculus AB,ap,Y02-SEC-017,TCH-005,normal,Assignment 05,Assignment 06,46.73,61.31,true,true,14.580000000000005,14.58,53.0355,59.1797,6.1442,positive_growth
2027-2028,2,SYN-SIS-000189,Synthetic Student 189,12,MATH-AP-CALC-AB,AP Calculus AB,ap,Y02-SEC-019,TCH-005,high,Assignment 05,Assignment 06,35.04,35.46,true,true,0.4200000000000017,0.42,28.5964,36.9132,8.3168,stable
2027-2028,2,SYN-SIS-000195,Synthetic Student 195,11,MATH-PRECALC,Precalculus,regular,Y02-SEC-015,TCH-003,normal,Assignment 05,Assignment 06,18.52,0.0,true,false,,,17.704,23.6324,5.9284,absent_eoy
2027-2028,2,SYN-SIS-000201,Synthetic Student 201,12,MATH-BEYOND-CORE,Beyond Core Math Sequence,beyond_core,Y02-SEC-024,TCH-004,normal,Assignment 05,Assignment 06,0.0,93.8,false,true,,-0.7,92.6265,94.3276,1.7011,first_evidence_eoy
2027-2028,2,SYN-SIS-000204,Synthetic Student 204,11,MATH-ALG2,Algebra 2,regular,Y02-SEC-007,TCH-002,high,Assignment 05,Assignment 06,0.0,47.59,false,true,,-6.84,46.769,47.5934,0.8244,first_evidence_eoy
2027-2028,2,SYN-SIS-000221,Synthetic Student 221,11,MATH-ALG2-H,Honors Algebra 2,honors,Y02-SEC-009,TCH-003,high,Assignment 05,Assignment 06,75.07,79.36,true,true,4.290000000000006,4.29,74.9238,78.4831,3.5593,stable
2027-2028,2,SYN-SIS-000231,Synthetic Student 231,11,MATH-ALG2,Algebra 2,regular,Y02-SEC-007,TCH-002,high,Assignment 05,Assignment 06,33.41,44.0,true,true,10.590000000000003,10.59,36.5737,44.2511,7.6774,positive_growth
2027-2028,2,SYN-SIS-000240,Synthetic Student 240,12,MATH-AP-CALC-BC,AP Calculus BC,ap,Y02-SEC-023,TCH-005,high,Assignment 05,Assignment 06,40.11,0.0,true,false,,,40.1926,46.5131,6.3205,absent_eoy
2027-2028,2,SYN-SIS-000242,Synthetic Student 242,12,MATH-AP-CALC-AB,AP Calculus AB,ap,Y02-SEC-017,TCH-005,high,Assignment 05,Assignment 06,0.0,43.89,false,true,,3.88,36.6123,40.0477,3.4354,first_evidence_eoy
2027-2028,2,SYN-SIS-000244,Synthetic Student 244,12,MATH-AP-CALC-AB,AP Calculus AB,ap,Y02-SEC-020,TCH-005,at_risk,Assignment 05,Assignment 06,39.65,0.0,true,false,,,40.9546,49.012,8.0574,absent_eoy
2027-2028,2,SYN-SIS-000263,Synthetic Student 263,11,MATH-ALG2,Algebra 2,regular,Y02-SEC-007,TCH-002,high,Assignment 05,Assignment 06,9.77,34.0,true,true,24.23,24.23,17.4238,34.6228,17.199,large_positive_growth
2027-2028,2,SYN-SIS-000273,Synthetic Student 273,12,MATH-AP-PRECALC,AP Precalculus,ap,Y02-SEC-011,TCH-004,at_risk,Assignment 05,Assignment 06,69.97,0.0,true,false,,,72.316,73.7559,1.4399,absent_eoy
2027-2028,2,SYN-SIS-000294,Synthetic Student 294,10,MATH-GEOM,Geometry,regular,Y02-SEC-005,TCH-001,high,Assignment 05,Assignment 06,27.67,41.0,true,true,13.329999999999998,13.33,32.4704,39.9059,7.4355,positive_growth
2027-2028,2,SYN-SIS-000306,Synthetic Student 306,10,MATH-AP-PRECALC,AP Precalculus,ap,Y02-SEC-013,TCH-004,normal,Assignment 05,Assignment 06,47.19,57.48,true,true,10.29,10.29,49.7079,58.219,8.5111,positive_growth
2027-2028,2,SYN-SIS-000321,Synthetic Student 321,10,MATH-GEOM,Geometry,regular,Y02-SEC-003,TCH-001,high,Assignment 05,Assignment 06,34.23,39.0,true,true,4.770000000000003,4.77,35.1408,40.6268,5.486,stable
2027-2028,2,SYN-SIS-000324,Synthetic Student 324,10,MATH-AP-PRECALC,AP Precalculus,ap,Y02-SEC-013,TCH-004,normal,Assignment 05,Assignment 06,34.66,37.99,true,true,3.3300000000000054,3.33,33.036,42.2823,9.2463,stable
2027-2028,2,SYN-SIS-000328,Synthetic Student 328,10,MATH-ALG2-H,Honors Algebra 2,honors,Y02-SEC-010,TCH-003,at_risk,Assignment 05,Assignment 06,75.66,0.0,true,false,,,76.4539,76.2505,-0.2034,absent_eoy
2027-2028,2,SYN-SIS-000338,Synthetic Student 338,10,MATH-GEOM,Geometry,regular,Y02-SEC-004,TCH-002,normal,Assignment 05,Assignment 06,55.16,53.38,true,true,-1.779999999999994,-1.78,55.7239,59.0851,3.3612,stable
2027-2028,2,SYN-SIS-000352,Synthetic Student 352,9,MATH-GEOM,Geometry,regular,Y02-SEC-003,TCH-001,normal,Assignment 05,Assignment 06,64.31,0.0,true,false,,,61.77,63.2844,1.5144,absent_eoy
2027-2028,2,SYN-SIS-000357,Synthetic Student 357,9,MATH-ALG2-H,Honors Algebra 2,honors,Y02-SEC-009,TCH-003,high,Assignment 05,Assignment 06,13.93,23.19,true,true,9.260000000000002,9.26,10.83,19.8059,8.9759,positive_growth
2027-2028,2,SYN-SIS-000364,Synthetic Student 364,9,MATH-ALG1,Algebra 1,regular,Y02-SEC-001,TCH-001,high,Assignment 05,Assignment 06,22.37,26.26,true,true,3.8900000000000006,3.89,18.37,25.3876,7.0176,stable
2027-2028,2,SYN-SIS-000370,Synthetic Student 370,9,MATH-ALG2-H,Honors Algebra 2,honors,Y02-SEC-010,TCH-003,normal,Assignment 05,Assignment 06,0.0,32.03,false,true,,,23.2,32.3052,9.1052,first_evidence_eoy
2027-2028,2,SYN-SIS-000373,Synthetic Student 373,9,MATH-ALG2-H,Honors Algebra 2,honors,Y02-SEC-010,TCH-003,high,Assignment 05,Assignment 06,42.63,57.69,true,true,15.059999999999995,15.06,44.76,55.5167,10.7567,large_positive_growth
