school_year,sis_user_id,canonical_student_label,canvas_student_label,canonical_course_id,canvas_course_id,canonical_section_id,canvas_section_id,canonical_teacher_id,canvas_teacher_id,canonical_enrollment_status,canvas_enrollment_status,canvas_email,reconciliation_status
2025-2026,SYN-SIS-000050,Synthetic Student 050,Synthetic Student 050,MATH-ALG1,MATH-ALG1,Y00-SEC-002,Y00-SEC-002,TCH-001,TCH-001,active,active,jhayes29@schoolname.example,matched
2025-2026,SYN-SIS-000065,Synthetic Student 065,Synthetic Student 065,MATH-ALG1,MATH-ALG1,Y00-SEC-002,Y00-SEC-002,TCH-001,TCH-001,active,active,edavis29@schoolname.example,matched
2025-2026,SYN-SIS-000086,Synthetic Student 086,Synthetic Student 086,MATH-ALG1,MATH-ALG1,Y00-SEC-002,Y00-SEC-002,TCH-001,TCH-001,active,active,fflores29@schoolname.example,matched
2025-2026,SYN-SIS-000171,Synthetic Student 171,Synthetic Student 171,MATH-ALG1,MATH-ALG1,Y00-SEC-002,Y00-SEC-002,TCH-001,TCH-001,active,active,kortiz29@schoolname.example,matched
2025-2026,SYN-SIS-000204,Synthetic Student 204,Synthetic Student 204,MATH-ALG1,MATH-ALG1,Y00-SEC-002,Y00-SEC-002,TCH-001,TCH-001,active,active,djohnson29@schoolname.example,matched
2025-2026,SYN-SIS-000205,Synthetic Student 205,Synthetic Student 205,MATH-ALG1,MATH-ALG1,Y00-SEC-002,Y00-SEC-002,TCH-001,TCH-001,active,active,ekim29@schoolname.example,matched
2025-2026,SYN-SIS-000221,Synthetic Student 221,Synthetic Student 221,MATH-ALG1,MATH-ALG1,Y00-SEC-002,Y00-SEC-002,TCH-001,TCH-001,active,active,ahayes29@schoolname.example,matched
2025-2026,SYN-SIS-000231,Synthetic Student 231,Synthetic Student 231,MATH-ALG1,MATH-ALG1,Y00-SEC-002,Y00-SEC-002,TCH-001,TCH-001,active,active,kmiller29@schoolname.example,matched
2025-2026,SYN-SIS-000254,Synthetic Student 254,Synthetic Student 254,MATH-ALG1,MATH-ALG1,Y00-SEC-002,Y00-SEC-002,TCH-001,TCH-001,active,active,nbrooks28@schoolname.example,matched
2025-2026,SYN-SIS-000263,Synthetic Student 263,Synthetic Student 263,MATH-ALG1,MATH-ALG1,Y00-SEC-002,Y00-SEC-002,TCH-001,TCH-001,active,active,clewis29@schoolname.example,matched
2025-2026,SYN-SIS-000031,Synthetic Student 031,Synthetic Student 031,MATH-ALG2-H,MATH-ALG2-H,Y00-SEC-012,Y00-SEC-012,TCH-003,TCH-003,active,active,khayes29@schoolname.example,matched
2025-2026,SYN-SIS-000045,Synthetic Student 045,Synthetic Student 045,MATH-ALG2-H,MATH-ALG2-H,Y00-SEC-012,Y00-SEC-012,TCH-003,TCH-003,active,active,echen29@schoolname.example,matched
2025-2026,SYN-SIS-000092,Synthetic Student 092,Synthetic Student 092,MATH-ALG2-H,MATH-ALG2-H,Y00-SEC-012,Y00-SEC-012,TCH-003,TCH-003,active,active,llewis29@schoolname.example,matched
2025-2026,SYN-SIS-000098,Synthetic Student 098,Synthetic Student 098,MATH-ALG2-H,MATH-ALG2-H,Y00-SEC-012,Y00-SEC-012,TCH-003,TCH-003,active,active,smiller28@schoolname.example,matched
2025-2026,SYN-SIS-000109,Synthetic Student 109,Synthetic Student 109,MATH-ALG2-H,MATH-ALG2-H,Y00-SEC-012,Y00-SEC-012,TCH-003,TCH-003,active,active,ijohnson28@schoolname.example,matched
2025-2026,SYN-SIS-000154,Synthetic Student 154,Synthetic Student 154,MATH-ALG2-H,MATH-ALG2-H,Y00-SEC-012,Y00-SEC-012,TCH-003,TCH-003,active,active,nstone27@schoolname.example,matched
2025-2026,SYN-SIS-000155,Synthetic Student 155,Synthetic Student 155,MATH-ALG2-H,MATH-ALG2-H,Y00-SEC-012,Y00-SEC-012,TCH-003,TCH-003,active,active,pmiller28@schoolname.example,matched
2025-2026,SYN-SIS-000192,Synthetic Student 192,Synthetic Student 192,MATH-ALG2-H,MATH-ALG2-H,Y00-SEC-012,Y00-SEC-012,TCH-003,TCH-003,active,active,lstone27@schoolname.example,matched
2025-2026,SYN-SIS-000251,Synthetic Student 251,Synthetic Student 251,MATH-ALG2-H,MATH-ALG2-H,Y00-SEC-012,Y00-SEC-012,TCH-003,TCH-003,active,active,krivera29@schoolname.example,matched
2025-2026,SYN-SIS-000255,Synthetic Student 255,Synthetic Student 255,MATH-ALG2-H,MATH-ALG2-H,Y00-SEC-012,Y00-SEC-012,TCH-003,TCH-003,active,active,pchen27@schoolname.example,matched
2025-2026,SYN-SIS-000281,Synthetic Student 281,Synthetic Student 281,MATH-ALG2-H,MATH-ALG2-H,Y00-SEC-012,Y00-SEC-012,TCH-003,TCH-003,active,active,akim29@schoolname.example,matched
2025-2026,SYN-SIS-000055,Synthetic Student 055,Synthetic Student 055,MATH-ALG2-H,MATH-ALG2-H,Y00-SEC-013,Y00-SEC-013,TCH-003,TCH-003,active,active,pmartinez29@schoolname.example,matched
2025-2026,SYN-SIS-000090,Synthetic Student 090,Synthetic Student 090,MATH-ALG2-H,MATH-ALG2-H,Y00-SEC-013,Y00-SEC-013,TCH-003,TCH-003,active,active,jjohnson27@schoolname.example,matched
2025-2026,SYN-SIS-000094,Synthetic Student 094,Synthetic Student 094,MATH-ALG2-H,MATH-ALG2-H,Y00-SEC-013,Y00-SEC-013,TCH-003,TCH-003,active,active,nnelson28@schoolname.example,matched
2025-2026,SYN-SIS-000120,Synthetic Student 120,Synthetic Student 120,MATH-ALG2-H,MATH-ALG2-H,Y00-SEC-013,Y00-SEC-013,TCH-003,TCH-003,active,active,vpatel28@schoolname.example,matched
2025-2026,SYN-SIS-000127,Synthetic Student 127,Synthetic Student 127,MATH-ALG2-H,MATH-ALG2-H,Y00-SEC-013,Y00-SEC-013,TCH-003,TCH-003,active,active,gibrahim29@schoolname.example,matched
2025-2026,SYN-SIS-000130,Synthetic Student 130,Synthetic Student 130,MATH-ALG2-H,MATH-ALG2-H,Y00-SEC-013,Y00-SEC-013,TCH-003,TCH-003,active,active,jlewis27@schoolname.example,matched
2025-2026,SYN-SIS-000159,Synthetic Student 159,Synthetic Student 159,MATH-ALG2-H,MATH-ALG2-H,Y00-SEC-013,Y00-SEC-013,TCH-003,TCH-003,active,active,tbrooks28@schoolname.example,matched
2025-2026,SYN-SIS-000173,Synthetic Student 173,Synthetic Student 173,MATH-ALG2-H,MATH-ALG2-H,Y00-SEC-013,Y00-SEC-013,TCH-003,TCH-003,active,active,mstone29@schoolname.example,matched
2025-2026,SYN-SIS-000238,Synthetic Student 238,Synthetic Student 238,MATH-ALG2-H,MATH-ALG2-H,Y00-SEC-013,Y00-SEC-013,TCH-003,TCH-003,active,active,sevans28@schoolname.example,matched
2025-2026,SYN-SIS-000257,Synthetic Student 257,Synthetic Student 257,MATH-ALG2-H,MATH-ALG2-H,Y00-SEC-013,Y00-SEC-013,TCH-003,TCH-003,active,active,revans28@schoolname.example,matched
2025-2026,SYN-SIS-000271,Synthetic Student 271,Synthetic Student 271,MATH-ALG2-H,MATH-ALG2-H,Y00-SEC-013,Y00-SEC-013,TCH-003,TCH-003,active,active,knguyen29@schoolname.example,matched
2025-2026,SYN-SIS-000001,Synthetic Student 001,Synthetic Student 001,MATH-ALG2-H,MATH-ALG2-H,Y00-SEC-014,Y00-SEC-014,TCH-003,TCH-003,active,active,astone29@schoolname.example,matched
2025-2026,SYN-SIS-000027,Synthetic Student 027,Synthetic Student 027,MATH-ALG2-H,MATH-ALG2-H,Y00-SEC-014,Y00-SEC-014,TCH-003,TCH-003,active,active,gdavis28@schoolname.example,matched
2025-2026,SYN-SIS-000057,Synthetic Student 057,Synthetic Student 057,MATH-ALG2-H,MATH-ALG2-H,Y00-SEC-014,Y00-SEC-014,TCH-003,TCH-003,active,active,rortiz29@schoolname.example,matched
2025-2026,SYN-SIS-000112,Synthetic Student 112,Synthetic Student 112,MATH-ALG2-H,MATH-ALG2-H,Y00-SEC-014,Y00-SEC-014,TCH-003,TCH-003,active,active,lmartinez29@schoolname.example,matched
2025-2026,SYN-SIS-000135,Synthetic Student 135,Synthetic Student 135,MATH-ALG2-H,MATH-ALG2-H,Y00-SEC-014,Y00-SEC-014,TCH-003,TCH-003,active,active,pstone27@schoolname.example,matched
2025-2026,SYN-SIS-000148,Synthetic Student 148,Synthetic Student 148,MATH-ALG2-H,MATH-ALG2-H,Y00-SEC-014,Y00-SEC-014,TCH-003,TCH-003,active,active,hkim28@schoolname.example,matched
2025-2026,SYN-SIS-000174,Synthetic Student 174,Synthetic Student 174,MATH-ALG2-H,MATH-ALG2-H,Y00-SEC-014,Y00-SEC-014,TCH-003,TCH-003,active,active,nmiller28@schoolname.example,matched
2025-2026,SYN-SIS-000181,Synthetic Student 181,Synthetic Student 181,MATH-ALG2-H,MATH-ALG2-H,Y00-SEC-014,Y00-SEC-014,TCH-003,TCH-003,active,active,aflores28@schoolname.example,matched
2025-2026,SYN-SIS-000196,Synthetic Student 196,Synthetic Student 196,MATH-ALG2-H,MATH-ALG2-H,Y00-SEC-014,Y00-SEC-014,TCH-003,TCH-003,active,active,qpatel29@schoolname.example,matched
2025-2026,SYN-SIS-000236,Synthetic Student 236,Synthetic Student 236,MATH-ALG2-H,MATH-ALG2-H,Y00-SEC-014,Y00-SEC-014,TCH-003,TCH-003,active,active,qchen29@schoolname.example,matched
2025-2026,SYN-SIS-000274,Synthetic Student 274,Synthetic Student 274,MATH-ALG2-H,MATH-ALG2-H,Y00-SEC-014,Y00-SEC-014,TCH-003,TCH-003,active,active,nchen29@schoolname.example,matched
2025-2026,SYN-SIS-000013,Synthetic Student 013,Synthetic Student 013,MATH-ALG2-H,MATH-ALG2-H,Y00-SEC-015,Y00-SEC-015,TCH-003,TCH-003,active,active,mibrahim28@schoolname.example,matched
2025-2026,SYN-SIS-000016,Synthetic Student 016,Synthetic Student 016,MATH-ALG2-H,MATH-ALG2-H,Y00-SEC-015,Y00-SEC-015,TCH-003,TCH-003,active,active,qlewis29@schoolname.example,matched
2025-2026,SYN-SIS-000108,Synthetic Student 108,Synthetic Student 108,MATH-ALG2-H,MATH-ALG2-H,Y00-SEC-015,Y00-SEC-015,TCH-003,TCH-003,active,active,hibrahim27@schoolname.example,matched
2025-2026,SYN-SIS-000160,Synthetic Student 160,Synthetic Student 160,MATH-ALG2-H,MATH-ALG2-H,Y00-SEC-015,Y00-SEC-015,TCH-003,TCH-003,active,active,vchen29@schoolname.example,matched
2025-2026,SYN-SIS-000177,Synthetic Student 177,Synthetic Student 177,MATH-ALG2-H,MATH-ALG2-H,Y00-SEC-015,Y00-SEC-015,TCH-003,TCH-003,active,active,rpatel29@schoolname.example,matched
2025-2026,SYN-SIS-000202,Synthetic Student 202,Synthetic Student 202,MATH-ALG2-H,MATH-ALG2-H,Y00-SEC-015,Y00-SEC-015,TCH-003,TCH-003,active,active,bhayes28@schoolname.example,matched
2025-2026,SYN-SIS-000230,Synthetic Student 230,Synthetic Student 230,MATH-ALG2-H,MATH-ALG2-H,Y00-SEC-015,Y00-SEC-015,TCH-003,TCH-003,active,active,jstone28@schoolname.example,matched
2025-2026,SYN-SIS-000237,Synthetic Student 237,Synthetic Student 237,MATH-ALG2-H,MATH-ALG2-H,Y00-SEC-015,Y00-SEC-015,TCH-003,TCH-003,active,active,rdavis28@schoolname.example,matched
2025-2026,SYN-SIS-000241,Synthetic Student 241,Synthetic Student 241,MATH-ALG2-H,MATH-ALG2-H,Y00-SEC-015,Y00-SEC-015,TCH-003,TCH-003,active,active,aibrahim28@schoolname.example,matched
2025-2026,SYN-SIS-000272,Synthetic Student 272,Synthetic Student 272,MATH-ALG2-H,MATH-ALG2-H,Y00-SEC-015,Y00-SEC-015,TCH-003,TCH-003,active,active,lpatel27@schoolname.example,matched
2025-2026,SYN-SIS-000023,Synthetic Student 023,Synthetic Student 023,MATH-ALG2,MATH-ALG2,Y00-SEC-009,Y00-SEC-009,TCH-002,TCH-002,active,active,cnguyen28@schoolname.example,matched
2025-2026,SYN-SIS-000059,Synthetic Student 059,Synthetic Student 059,MATH-ALG2,MATH-ALG2,Y00-SEC-009,Y00-SEC-009,TCH-002,TCH-002,active,active,tstone28@schoolname.example,matched
2025-2026,SYN-SIS-000061,Synthetic Student 061,Synthetic Student 061,MATH-ALG2,MATH-ALG2,Y00-SEC-009,Y00-SEC-009,TCH-002,TCH-002,active,active,anguyen28@schoolname.example,matched
2025-2026,SYN-SIS-000064,Synthetic Student 064,Synthetic Student 064,MATH-ALG2,MATH-ALG2,Y00-SEC-009,Y00-SEC-009,TCH-002,TCH-002,active,active,dchen27@schoolname.example,matched
2025-2026,SYN-SIS-000079,Synthetic Student 079,Synthetic Student 079,MATH-ALG2,MATH-ALG2,Y00-SEC-009,Y00-SEC-009,TCH-002,TCH-002,active,active,tmiller28@schoolname.example,matched
2025-2026,SYN-SIS-000140,Synthetic Student 140,Synthetic Student 140,MATH-ALG2,MATH-ALG2,Y00-SEC-009,Y00-SEC-009,TCH-002,TCH-002,active,active,vbrooks28@schoolname.example,matched
2025-2026,SYN-SIS-000191,Synthetic Student 191,Synthetic Student 191,MATH-ALG2,MATH-ALG2,Y00-SEC-009,Y00-SEC-009,TCH-002,TCH-002,active,active,kprice27@schoolname.example,matched
2025-2026,SYN-SIS-000209,Synthetic Student 209,Synthetic Student 209,MATH-ALG2,MATH-ALG2,Y00-SEC-009,Y00-SEC-009,TCH-002,TCH-002,active,active,iortiz27@schoolname.example,matched
2025-2026,SYN-SIS-000229,Synthetic Student 229,Synthetic Student 229,MATH-ALG2,MATH-ALG2,Y00-SEC-009,Y00-SEC-009,TCH-002,TCH-002,active,active,iprice27@schoolname.example,matched
2025-2026,SYN-SIS-000234,Synthetic Student 234,Synthetic Student 234,MATH-ALG2,MATH-ALG2,Y00-SEC-009,Y00-SEC-009,TCH-002,TCH-002,active,active,npatel28@schoolname.example,matched
2025-2026,SYN-SIS-000244,Synthetic Student 244,Synthetic Student 244,MATH-ALG2,MATH-ALG2,Y00-SEC-009,Y00-SEC-009,TCH-002,TCH-002,active,active,dlewis28@schoolname.example,matched
2025-2026,SYN-SIS-000249,Synthetic Student 249,Synthetic Student 249,MATH-ALG2,MATH-ALG2,Y00-SEC-009,Y00-SEC-009,TCH-002,TCH-002,active,active,istone28@schoolname.example,matched
2025-2026,SYN-SIS-000004,Synthetic Student 004,Synthetic Student 004,MATH-ALG2,MATH-ALG2,Y00-SEC-010,Y00-SEC-010,TCH-002,TCH-002,active,active,dnguyen27@schoolname.example,matched
2025-2026,SYN-SIS-000014,Synthetic Student 014,Synthetic Student 014,MATH-ALG2,MATH-ALG2,Y00-SEC-010,Y00-SEC-010,TCH-002,TCH-002,active,active,njohnson28@schoolname.example,matched
2025-2026,SYN-SIS-000033,Synthetic Student 033,Synthetic Student 033,MATH-ALG2,MATH-ALG2,Y00-SEC-010,Y00-SEC-010,TCH-002,TCH-002,active,active,mjohnson28@schoolname.example,matched
2025-2026,SYN-SIS-000066,Synthetic Student 066,Synthetic Student 066,MATH-ALG2,MATH-ALG2,Y00-SEC-010,Y00-SEC-010,TCH-002,TCH-002,active,active,fevans28@schoolname.example,matched
2025-2026,SYN-SIS-000069,Synthetic Student 069,Synthetic Student 069,MATH-ALG2,MATH-ALG2,Y00-SEC-010,Y00-SEC-010,TCH-002,TCH-002,active,active,ihayes28@schoolname.example,matched
2025-2026,SYN-SIS-000088,Synthetic Student 088,Synthetic Student 088,MATH-ALG2,MATH-ALG2,Y00-SEC-010,Y00-SEC-010,TCH-002,TCH-002,active,active,hhayes28@schoolname.example,matched
2025-2026,SYN-SIS-000091,Synthetic Student 091,Synthetic Student 091,MATH-ALG2,MATH-ALG2,Y00-SEC-010,Y00-SEC-010,TCH-002,TCH-002,active,active,kkim28@schoolname.example,matched
2025-2026,SYN-SIS-000097,Synthetic Student 097,Synthetic Student 097,MATH-ALG2,MATH-ALG2,Y00-SEC-010,Y00-SEC-010,TCH-002,TCH-002,active,active,rstone28@schoolname.example,matched
2025-2026,SYN-SIS-000121,Synthetic Student 121,Synthetic Student 121,MATH-ALG2,MATH-ALG2,Y00-SEC-010,Y00-SEC-010,TCH-002,TCH-002,active,active,achen28@schoolname.example,matched
2025-2026,SYN-SIS-000189,Synthetic Student 189,Synthetic Student 189,MATH-ALG2,MATH-ALG2,Y00-SEC-010,Y00-SEC-010,TCH-002,TCH-002,active,active,inelson28@schoolname.example,matched
2025-2026,SYN-SIS-000242,Synthetic Student 242,Synthetic Student 242,MATH-ALG2,MATH-ALG2,Y00-SEC-010,Y00-SEC-010,TCH-002,TCH-002,active,active,bjohnson28@schoolname.example,matched
2025-2026,SYN-SIS-000275,Synthetic Student 275,Synthetic Student 275,MATH-ALG2,MATH-ALG2,Y00-SEC-010,Y00-SEC-010,TCH-002,TCH-002,active,active,pdavis27@schoolname.example,matched
2025-2026,SYN-SIS-000002,Synthetic Student 002,Synthetic Student 002,MATH-ALG2,MATH-ALG2,Y00-SEC-011,Y00-SEC-011,TCH-003,TCH-003,active,active,bmiller28@schoolname.example,matched
2025-2026,SYN-SIS-000003,Synthetic Student 003,Synthetic Student 003,MATH-ALG2,MATH-ALG2,Y00-SEC-011,Y00-SEC-011,TCH-003,TCH-003,active,active,crivera27@schoolname.example,matched
2025-2026,SYN-SIS-000043,Synthetic Student 043,Synthetic Student 043,MATH-ALG2,MATH-ALG2,Y00-SEC-011,Y00-SEC-011,TCH-003,TCH-003,active,active,cpatel27@schoolname.example,matched
2025-2026,SYN-SIS-000071,Synthetic Student 071,Synthetic Student 071,MATH-ALG2,MATH-ALG2,Y00-SEC-011,Y00-SEC-011,TCH-003,TCH-003,active,active,kjohnson27@schoolname.example,matched
2025-2026,SYN-SIS-000076,Synthetic Student 076,Synthetic Student 076,MATH-ALG2,MATH-ALG2,Y00-SEC-011,Y00-SEC-011,TCH-003,TCH-003,active,active,qortiz28@schoolname.example,matched
2025-2026,SYN-SIS-000087,Synthetic Student 087,Synthetic Student 087,MATH-ALG2,MATH-ALG2,Y00-SEC-011,Y00-SEC-011,TCH-003,TCH-003,active,active,ggarcia28@schoolname.example,matched
2025-2026,SYN-SIS-000133,Synthetic Student 133,Synthetic Student 133,MATH-ALG2,MATH-ALG2,Y00-SEC-011,Y00-SEC-011,TCH-003,TCH-003,active,active,mortiz27@schoolname.example,matched
2025-2026,SYN-SIS-000134,Synthetic Student 134,Synthetic Student 134,MATH-ALG2,MATH-ALG2,Y00-SEC-011,Y00-SEC-011,TCH-003,TCH-003,active,active,nprice28@schoolname.example,matched
2025-2026,SYN-SIS-000164,Synthetic Student 164,Synthetic Student 164,MATH-ALG2,MATH-ALG2,Y00-SEC-011,Y00-SEC-011,TCH-003,TCH-003,active,active,dhayes28@schoolname.example,matched
2025-2026,SYN-SIS-000218,Synthetic Student 218,Synthetic Student 218,MATH-ALG2,MATH-ALG2,Y00-SEC-011,Y00-SEC-011,TCH-003,TCH-003,active,active,sdavis27@schoolname.example,matched
2025-2026,SYN-SIS-000235,Synthetic Student 235,Synthetic Student 235,MATH-ALG2,MATH-ALG2,Y00-SEC-011,Y00-SEC-011,TCH-003,TCH-003,active,active,pbrooks28@schoolname.example,matched
2025-2026,SYN-SIS-000038,Synthetic Student 038,Synthetic Student 038,MATH-AP-CALC-AB,MATH-AP-CALC-AB,Y00-SEC-021,Y00-SEC-021,TCH-005,TCH-005,active,active,sortiz27@schoolname.example,matched
2025-2026,SYN-SIS-000075,Synthetic Student 075,Synthetic Student 075,MATH-AP-CALC-AB,MATH-AP-CALC-AB,Y00-SEC-021,Y00-SEC-021,TCH-005,TCH-005,active,active,pnelson27@schoolname.example,matched
2025-2026,SYN-SIS-000077,Synthetic Student 077,Synthetic Student 077,MATH-AP-CALC-AB,MATH-AP-CALC-AB,Y00-SEC-021,Y00-SEC-021,TCH-005,TCH-005,active,active,rprice27@schoolname.example,matched
2025-2026,SYN-SIS-000096,Synthetic Student 096,Synthetic Student 096,MATH-AP-CALC-AB,MATH-AP-CALC-AB,Y00-SEC-021,Y00-SEC-021,TCH-005,TCH-005,active,active,qprice26@schoolname.example,matched
2025-2026,SYN-SIS-000107,Synthetic Student 107,Synthetic Student 107,MATH-AP-CALC-AB,MATH-AP-CALC-AB,Y00-SEC-021,Y00-SEC-021,TCH-005,TCH-005,active,active,ghayes27@schoolname.example,matched
2025-2026,SYN-SIS-000137,Synthetic Student 137,Synthetic Student 137,MATH-AP-CALC-AB,MATH-AP-CALC-AB,Y00-SEC-021,Y00-SEC-021,TCH-005,TCH-005,active,active,rrivera26@schoolname.example,matched
2025-2026,SYN-SIS-000147,Synthetic Student 147,Synthetic Student 147,MATH-AP-CALC-AB,MATH-AP-CALC-AB,Y00-SEC-021,Y00-SEC-021,TCH-005,TCH-005,active,active,gjohnson27@schoolname.example,matched
2025-2026,SYN-SIS-000158,Synthetic Student 158,Synthetic Student 158,MATH-AP-CALC-AB,MATH-AP-CALC-AB,Y00-SEC-021,Y00-SEC-021,TCH-005,TCH-005,active,active,spatel27@schoolname.example,matched
2025-2026,SYN-SIS-000175,Synthetic Student 175,Synthetic Student 175,MATH-AP-CALC-AB,MATH-AP-CALC-AB,Y00-SEC-021,Y00-SEC-021,TCH-005,TCH-005,active,active,privera27@schoolname.example,matched
2025-2026,SYN-SIS-000182,Synthetic Student 182,Synthetic Student 182,MATH-AP-CALC-AB,MATH-AP-CALC-AB,Y00-SEC-021,Y00-SEC-021,TCH-005,TCH-005,active,active,bgarcia26@schoolname.example,matched
2025-2026,SYN-SIS-000227,Synthetic Student 227,Synthetic Student 227,MATH-AP-CALC-AB,MATH-AP-CALC-AB,Y00-SEC-021,Y00-SEC-021,TCH-005,TCH-005,active,active,gnelson27@schoolname.example,matched
2025-2026,SYN-SIS-000232,Synthetic Student 232,Synthetic Student 232,MATH-AP-CALC-AB,MATH-AP-CALC-AB,Y00-SEC-021,Y00-SEC-021,TCH-005,TCH-005,active,active,lrivera26@schoolname.example,matched
2025-2026,SYN-SIS-000256,Synthetic Student 256,Synthetic Student 256,MATH-AP-CALC-AB,MATH-AP-CALC-AB,Y00-SEC-021,Y00-SEC-021,TCH-005,TCH-005,active,active,qdavis26@schoolname.example,matched
2025-2026,SYN-SIS-000006,Synthetic Student 006,Synthetic Student 006,MATH-AP-CALC-AB,MATH-AP-CALC-AB,Y00-SEC-022,Y00-SEC-022,TCH-005,TCH-005,active,active,fbrooks27@schoolname.example,matched
2025-2026,SYN-SIS-000007,Synthetic Student 007,Synthetic Student 007,MATH-AP-CALC-AB,MATH-AP-CALC-AB,Y00-SEC-022,Y00-SEC-022,TCH-005,TCH-005,active,active,gchen26@schoolname.example,matched
2025-2026,SYN-SIS-000015,Synthetic Student 015,Synthetic Student 015,MATH-AP-CALC-AB,MATH-AP-CALC-AB,Y00-SEC-022,Y00-SEC-022,TCH-005,TCH-005,active,active,pkim27@schoolname.example,matched
2025-2026,SYN-SIS-000082,Synthetic Student 082,Synthetic Student 082,MATH-AP-CALC-AB,MATH-AP-CALC-AB,Y00-SEC-022,Y00-SEC-022,TCH-005,TCH-005,active,active,bbrooks27@schoolname.example,matched
2025-2026,SYN-SIS-000095,Synthetic Student 095,Synthetic Student 095,MATH-AP-CALC-AB,MATH-AP-CALC-AB,Y00-SEC-022,Y00-SEC-022,TCH-005,TCH-005,active,active,portiz26@schoolname.example,matched
2025-2026,SYN-SIS-000179,Synthetic Student 179,Synthetic Student 179,MATH-AP-CALC-AB,MATH-AP-CALC-AB,Y00-SEC-022,Y00-SEC-022,TCH-005,TCH-005,active,active,tchen26@schoolname.example,matched
2025-2026,SYN-SIS-000183,Synthetic Student 183,Synthetic Student 183,MATH-AP-CALC-AB,MATH-AP-CALC-AB,Y00-SEC-022,Y00-SEC-022,TCH-005,TCH-005,active,active,chayes28@schoolname.example,matched
2025-2026,SYN-SIS-000185,Synthetic Student 185,Synthetic Student 185,MATH-AP-CALC-AB,MATH-AP-CALC-AB,Y00-SEC-022,Y00-SEC-022,TCH-005,TCH-005,active,active,ejohnson27@schoolname.example,matched
2025-2026,SYN-SIS-000187,Synthetic Student 187,Synthetic Student 187,MATH-AP-CALC-AB,MATH-AP-CALC-AB,Y00-SEC-022,Y00-SEC-022,TCH-005,TCH-005,active,active,glewis26@schoolname.example,matched
2025-2026,SYN-SIS-000214,Synthetic Student 214,Synthetic Student 214,MATH-AP-CALC-AB,MATH-AP-CALC-AB,Y00-SEC-022,Y00-SEC-022,TCH-005,TCH-005,active,active,nnguyen26@schoolname.example,matched
2025-2026,SYN-SIS-000248,Synthetic Student 248,Synthetic Student 248,MATH-AP-CALC-AB,MATH-AP-CALC-AB,Y00-SEC-022,Y00-SEC-022,TCH-005,TCH-005,active,active,hprice26@schoolname.example,matched
2025-2026,SYN-SIS-000277,Synthetic Student 277,Synthetic Student 277,MATH-AP-CALC-AB,MATH-AP-CALC-AB,Y00-SEC-022,Y00-SEC-022,TCH-005,TCH-005,active,active,rflores26@schoolname.example,matched
2025-2026,SYN-SIS-000010,Synthetic Student 010,Synthetic Student 010,MATH-AP-CALC-AB,MATH-AP-CALC-AB,Y00-SEC-023,Y00-SEC-023,TCH-005,TCH-005,active,active,jflores26@schoolname.example,matched
