school_year,school_year_offset,sis_user_id,student_label,grade_level,course_id,course_name,course_track,section_id,section_label,teacher_id,teacher_label,assignment_label,sequence_index,assessment_window,expected_transition_type,actual_transition_type,generation_mode,population_status,attendance_category,attendance_probability,score,present_student_score,potential_score,posterior_readiness_after,growth_delta,latent_transition_type,latent_readiness_before,latent_readiness_after,latent_transition_delta,academic_profile_status,is_populated,is_present,is_nonparticipation_zero
2025-2026,0,SYN-SIS-000016,Synthetic Student 016,9,MATH-ALG2-H,Honors Algebra 2,honors,Y00-SEC-015,Honors Algebra 2 - Synthetic Section 01-15,TCH-003,Teacher 03,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,high,0.9885,81.41,81.41,78.43,76.3809,,initialize_latent_readiness,,78.43,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000017,Synthetic Student 017,9,MATH-ALG1,Algebra 1,regular,Y00-SEC-001,Algebra 1 - Synthetic Section 01-01,TCH-001,Teacher 01,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,high,0.9973,15.53,15.53,22.79,20.1029,,initialize_latent_readiness,,22.79,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000018,Synthetic Student 018,10,MATH-GEOM,Geometry,regular,Y00-SEC-008,Geometry - Synthetic Section 01-08,TCH-002,Teacher 02,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,normal,0.9273,89.19,89.19,90.32,82.6115,,initialize_latent_readiness,,90.32,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000019,Synthetic Student 019,9,MATH-GEOM,Geometry,regular,Y00-SEC-005,Geometry - Synthetic Section 01-05,TCH-001,Teacher 01,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,high,0.9846,32.09,32.09,30.77,34.0933,,initialize_latent_readiness,,30.77,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000020,Synthetic Student 020,11,MATH-PRECALC,Precalculus,regular,Y00-SEC-020,Precalculus - Synthetic Section 01-20,TCH-004,Teacher 04,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,high,0.9499,77.78,77.78,79.96,73.2506,,initialize_latent_readiness,,79.96,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000021,Synthetic Student 021,11,MATH-AP-PRECALC,AP Precalculus,ap,Y00-SEC-016,AP Precalculus - Synthetic Section 01-16,TCH-004,Teacher 04,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,high,0.9874,90.14,90.14,88.93,84.6237,,initialize_latent_readiness,,88.93,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000022,Synthetic Student 022,9,MATH-GEOM,Geometry,regular,Y00-SEC-005,Geometry - Synthetic Section 01-05,TCH-001,Teacher 01,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,normal,0.9218,66.55,66.55,67.08,63.206,,initialize_latent_readiness,,67.08,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000023,Synthetic Student 023,10,MATH-ALG2,Algebra 2,regular,Y00-SEC-009,Algebra 2 - Synthetic Section 01-09,TCH-002,Teacher 02,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,high,0.9807,77.21,77.21,76.72,72.4905,,initialize_latent_readiness,,76.72,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000024,Synthetic Student 024,12,MATH-AP-CALC-BC,AP Calculus BC,ap,Y00-SEC-025,AP Calculus BC - Synthetic Section 01-25,TCH-005,Teacher 05,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,high,0.9678,59.22,59.22,59.0,58.7802,,initialize_latent_readiness,,59.0,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000025,Synthetic Student 025,9,MATH-GEOM,Geometry,regular,Y00-SEC-003,Geometry - Synthetic Section 01-03,TCH-002,Teacher 02,Assignment 01,1,beginning_of_year,initialize_readiness,absent_no_update,absent_no_update,populated,normal,0.9128,0.0,,,,,initialize_latent_readiness,,63.21,,pending_no_present_scores,true,false,true
2025-2026,0,SYN-SIS-000026,Synthetic Student 026,10,MATH-AP-CALC-AB,AP Calculus AB,ap,Y00-SEC-023,AP Calculus AB - Synthetic Section 01-23,TCH-005,Teacher 05,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,at_risk,0.7479,47.21,47.21,43.79,48.0767,,initialize_latent_readiness,,43.79,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000027,Synthetic Student 027,10,MATH-ALG2-H,Honors Algebra 2,honors,Y00-SEC-014,Honors Algebra 2 - Synthetic Section 01-14,TCH-003,Teacher 03,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,high,0.9819,73.41,73.41,68.69,69.9008,,initialize_latent_readiness,,68.69,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000028,Synthetic Student 028,10,MATH-AP-PRECALC,AP Precalculus,ap,Y00-SEC-016,AP Precalculus - Synthetic Section 01-16,TCH-004,Teacher 04,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,normal,0.9226,42.62,42.62,44.84,44.1989,,initialize_latent_readiness,,44.84,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000029,Synthetic Student 029,9,MATH-GEOM,Geometry,regular,Y00-SEC-008,Geometry - Synthetic Section 01-08,TCH-002,Teacher 02,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,high,0.981,50.36,50.36,45.31,49.5283,,initialize_latent_readiness,,45.31,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000030,Synthetic Student 030,10,MATH-GEOM,Geometry,regular,Y00-SEC-008,Geometry - Synthetic Section 01-08,TCH-002,Teacher 02,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,normal,0.8769,74.92,74.92,79.61,70.5558,,initialize_latent_readiness,,79.61,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000031,Synthetic Student 031,9,MATH-ALG2-H,Honors Algebra 2,honors,Y00-SEC-012,Honors Algebra 2 - Synthetic Section 01-12,TCH-003,Teacher 03,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,high,0.9838,64.38,64.38,65.14,61.9934,,initialize_latent_readiness,,65.14,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000032,Synthetic Student 032,9,MATH-GEOM,Geometry,regular,Y00-SEC-006,Geometry - Synthetic Section 01-06,TCH-002,Teacher 02,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,high,0.9886,76.12,76.12,74.7,71.291,,initialize_latent_readiness,,74.7,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000033,Synthetic Student 033,10,MATH-ALG2,Algebra 2,regular,Y00-SEC-010,Algebra 2 - Synthetic Section 01-10,TCH-002,Teacher 02,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,at_risk,0.669,35.64,35.64,36.37,37.371,,initialize_latent_readiness,,36.37,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000034,Synthetic Student 034,12,MATH-AP-CALC-BC,AP Calculus BC,ap,Y00-SEC-025,AP Calculus BC - Synthetic Section 01-25,TCH-005,Teacher 05,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,high,0.9902,100.0,100.0,100.0,93.2323,,initialize_latent_readiness,,100.0,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000035,Synthetic Student 035,9,MATH-ALG1,Algebra 1,regular,Y00-SEC-001,Algebra 1 - Synthetic Section 01-01,TCH-001,Teacher 01,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,high,0.9754,11.52,11.52,16.34,16.7152,,initialize_latent_readiness,,16.34,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000036,Synthetic Student 036,12,MATH-AP-CALC-AB,AP Calculus AB,ap,Y00-SEC-023,AP Calculus AB - Synthetic Section 01-23,TCH-005,Teacher 05,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,normal,0.9536,65.48,65.48,70.25,64.0688,,initialize_latent_readiness,,70.25,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000037,Synthetic Student 037,11,MATH-AP-PRECALC,AP Precalculus,ap,Y00-SEC-016,AP Precalculus - Synthetic Section 01-16,TCH-004,Teacher 04,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,high,0.9892,42.31,42.31,42.5,44.2156,,initialize_latent_readiness,,42.5,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000038,Synthetic Student 038,11,MATH-AP-CALC-AB,AP Calculus AB,ap,Y00-SEC-021,AP Calculus AB - Synthetic Section 01-21,TCH-005,Teacher 05,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,normal,0.9223,59.96,59.96,60.25,59.1268,,initialize_latent_readiness,,60.25,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000039,Synthetic Student 039,9,MATH-GEOM,Geometry,regular,Y00-SEC-007,Geometry - Synthetic Section 01-07,TCH-001,Teacher 01,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,normal,0.8871,34.26,34.26,31.17,35.9266,,initialize_latent_readiness,,31.17,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000040,Synthetic Student 040,12,MATH-AP-CALC-BC,AP Calculus BC,ap,Y00-SEC-026,AP Calculus BC - Synthetic Section 01-26,TCH-005,Teacher 05,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,high,0.8699,81.53,81.53,84.24,77.6283,,initialize_latent_readiness,,84.24,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000041,Synthetic Student 041,11,MATH-AP-PRECALC,AP Precalculus,ap,Y00-SEC-016,AP Precalculus - Synthetic Section 01-16,TCH-004,Teacher 04,Assignment 01,1,beginning_of_year,initialize_readiness,absent_no_update,absent_no_update,populated,normal,0.9126,0.0,,,,,initialize_latent_readiness,,55.04,,pending_no_present_scores,true,false,true
2025-2026,0,SYN-SIS-000042,Synthetic Student 042,12,MATH-AP-PRECALC,AP Precalculus,ap,Y00-SEC-016,AP Precalculus - Synthetic Section 01-16,TCH-004,Teacher 04,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,normal,0.9449,86.06,86.06,84.8,81.4554,,initialize_latent_readiness,,84.8,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000043,Synthetic Student 043,11,MATH-ALG2,Algebra 2,regular,Y00-SEC-011,Algebra 2 - Synthetic Section 01-11,TCH-003,Teacher 03,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,normal,0.9209,74.62,74.62,72.84,70.581,,initialize_latent_readiness,,72.84,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000044,Synthetic Student 044,12,MATH-PRECALC,Precalculus,regular,Y00-SEC-019,Precalculus - Synthetic Section 01-19,TCH-004,Teacher 04,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,high,0.9765,32.96,32.96,29.61,35.664,,initialize_latent_readiness,,29.61,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000045,Synthetic Student 045,9,MATH-ALG2-H,Honors Algebra 2,honors,Y00-SEC-012,Honors Algebra 2 - Synthetic Section 01-12,TCH-003,Teacher 03,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,high,0.9795,35.67,35.67,42.31,37.7384,,initialize_latent_readiness,,42.31,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000046,Synthetic Student 046,9,MATH-ALG1,Algebra 1,regular,Y00-SEC-001,Algebra 1 - Synthetic Section 01-01,TCH-001,Teacher 01,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,normal,0.9265,43.95,43.95,48.19,44.1129,,initialize_latent_readiness,,48.19,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000047,Synthetic Student 047,11,MATH-GEOM,Geometry,regular,Y00-SEC-004,Geometry - Synthetic Section 01-04,TCH-002,Teacher 02,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,normal,0.9333,80.63,80.63,83.64,75.6584,,initialize_latent_readiness,,83.64,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000048,Synthetic Student 048,12,MATH-AP-CALC-BC,AP Calculus BC,ap,Y00-SEC-026,AP Calculus BC - Synthetic Section 01-26,TCH-005,Teacher 05,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,normal,0.9321,45.74,45.74,49.65,47.392,,initialize_latent_readiness,,49.65,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000049,Synthetic Student 049,12,MATH-AP-PRECALC,AP Precalculus,ap,Y00-SEC-016,AP Precalculus - Synthetic Section 01-16,TCH-004,Teacher 04,Assignment 01,1,beginning_of_year,initialize_readiness,absent_no_update,absent_no_update,populated,normal,0.8112,0.0,,,,,initialize_latent_readiness,,100.0,,pending_no_present_scores,true,false,true
2025-2026,0,SYN-SIS-000050,Synthetic Student 050,9,MATH-ALG1,Algebra 1,regular,Y00-SEC-002,Algebra 1 - Synthetic Section 01-02,TCH-001,Teacher 01,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,normal,0.9275,24.35,24.35,24.28,27.5543,,initialize_latent_readiness,,24.28,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000051,Synthetic Student 051,9,MATH-AP-PRECALC,AP Precalculus,ap,Y00-SEC-017,AP Precalculus - Synthetic Section 01-17,TCH-004,Teacher 04,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,high,0.9473,57.53,57.53,57.51,56.5167,,initialize_latent_readiness,,57.51,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000052,Synthetic Student 052,10,MATH-GEOM,Geometry,regular,Y00-SEC-006,Geometry - Synthetic Section 01-06,TCH-002,Teacher 02,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,high,0.9429,56.8,56.8,59.97,55.2475,,initialize_latent_readiness,,59.97,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000053,Synthetic Student 053,9,MATH-AP-PRECALC,AP Precalculus,ap,Y00-SEC-018,AP Precalculus - Synthetic Section 01-18,TCH-004,Teacher 04,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,high,0.9547,95.31,95.31,91.73,88.4343,,initialize_latent_readiness,,91.73,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000054,Synthetic Student 054,9,MATH-GEOM,Geometry,regular,Y00-SEC-007,Geometry - Synthetic Section 01-07,TCH-001,Teacher 01,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,normal,0.9074,17.3,17.3,18.23,21.5983,,initialize_latent_readiness,,18.23,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000055,Synthetic Student 055,9,MATH-ALG2-H,Honors Algebra 2,honors,Y00-SEC-013,Honors Algebra 2 - Synthetic Section 01-13,TCH-003,Teacher 03,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,normal,0.9568,69.54,69.54,67.61,66.3528,,initialize_latent_readiness,,67.61,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000056,Synthetic Student 056,12,MATH-AP-CALC-BC,AP Calculus BC,ap,Y00-SEC-026,AP Calculus BC - Synthetic Section 01-26,TCH-005,Teacher 05,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,high,0.9938,54.26,54.26,56.45,54.5899,,initialize_latent_readiness,,56.45,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000057,Synthetic Student 057,9,MATH-ALG2-H,Honors Algebra 2,honors,Y00-SEC-014,Honors Algebra 2 - Synthetic Section 01-14,TCH-003,Teacher 03,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,normal,0.9385,72.56,72.56,70.66,68.9041,,initialize_latent_readiness,,70.66,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000058,Synthetic Student 058,9,MATH-GEOM,Geometry,regular,Y00-SEC-007,Geometry - Synthetic Section 01-07,TCH-001,Teacher 01,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,high,0.946,49.73,49.73,51.02,48.996,,initialize_latent_readiness,,51.02,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000059,Synthetic Student 059,10,MATH-ALG2,Algebra 2,regular,Y00-SEC-009,Algebra 2 - Synthetic Section 01-09,TCH-002,Teacher 02,Assignment 01,1,beginning_of_year,initialize_readiness,absent_no_update,absent_no_update,populated,normal,0.8499,0.0,,,,,initialize_latent_readiness,,14.82,,pending_no_present_scores,true,false,true
2025-2026,0,SYN-SIS-000060,Synthetic Student 060,11,MATH-AP-PRECALC,AP Precalculus,ap,Y00-SEC-017,AP Precalculus - Synthetic Section 01-17,TCH-004,Teacher 04,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,normal,0.9522,53.87,53.87,50.23,53.9818,,initialize_latent_readiness,,50.23,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000061,Synthetic Student 061,10,MATH-ALG2,Algebra 2,regular,Y00-SEC-009,Algebra 2 - Synthetic Section 01-09,TCH-002,Teacher 02,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,normal,0.9352,16.45,16.45,17.94,21.1588,,initialize_latent_readiness,,17.94,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000062,Synthetic Student 062,9,MATH-GEOM,Geometry,regular,Y00-SEC-003,Geometry - Synthetic Section 01-03,TCH-002,Teacher 02,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,at_risk,0.6847,63.28,63.28,65.88,60.4434,,initialize_latent_readiness,,65.88,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000063,Synthetic Student 063,10,MATH-GEOM,Geometry,regular,Y00-SEC-007,Geometry - Synthetic Section 01-07,TCH-001,Teacher 01,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,high,0.9919,39.58,39.58,41.35,40.6996,,initialize_latent_readiness,,41.35,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000064,Synthetic Student 064,11,MATH-ALG2,Algebra 2,regular,Y00-SEC-009,Algebra 2 - Synthetic Section 01-09,TCH-002,Teacher 02,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,normal,0.9531,27.06,27.06,26.98,30.401,,initialize_latent_readiness,,26.98,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000065,Synthetic Student 065,9,MATH-ALG1,Algebra 1,regular,Y00-SEC-002,Algebra 1 - Synthetic Section 01-02,TCH-001,Teacher 01,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,normal,0.9346,21.39,21.39,25.67,25.0536,,initialize_latent_readiness,,25.67,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000066,Synthetic Student 066,10,MATH-ALG2,Algebra 2,regular,Y00-SEC-010,Algebra 2 - Synthetic Section 01-10,TCH-002,Teacher 02,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,normal,0.9383,60.92,60.92,63.19,58.7282,,initialize_latent_readiness,,63.19,,initialized_assignment_01,true,true,false
2025-2026,0,SYN-SIS-000067,Synthetic Student 067,10,MATH-AP-CALC-AB,AP Calculus AB,ap,Y00-SEC-024,AP Calculus AB - Synthetic Section 01-24,TCH-005,Teacher 05,Assignment 01,1,beginning_of_year,initialize_readiness,initialize_readiness,first_present_evidence_from_latent,populated,normal,0.8651,35.06,35.06,33.78,37.812,,initialize_latent_readiness,,33.78,,initialized_assignment_01,true,true,false
