school_year,school_year_offset,sis_user_id,student_label,grade_level,course_id,course_name,course_track,section_id,section_label,teacher_id,teacher_label,attendance_category,attendance_probability,boy_assignment_label,eoy_assignment_label,boy_score,eoy_score,present_boy,present_eoy,modeled_eoy_growth_delta,posterior_readiness_after_eoy,latent_readiness_after_boy,latent_readiness_after_eoy,latent_eoy_transition_delta,eoy_generation_mode,eoy_transition_type,eoy_academic_profile_status,observed_growth_delta,academic_profile_status
2025-2026,0,SYN-SIS-000132,Synthetic Student 132,10,MATH-PRECALC,Precalculus,regular,Y00-SEC-019,Precalculus - Synthetic Section 01-19,TCH-004,Teacher 04,normal,0.8769,Assignment 01,Assignment 02,63.73,67.04,true,true,3.31,65.7856,60.64,64.2002,3.5602,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_02,3.3100000000000094,updated_assignment_02
2025-2026,0,SYN-SIS-000149,Synthetic Student 149,9,MATH-GEOM,Geometry,regular,Y00-SEC-003,Geometry - Synthetic Section 01-03,TCH-002,Teacher 02,normal,0.9296,Assignment 01,Assignment 02,44.0,59.56,true,true,15.56,57.1893,48.03,57.6791,9.6491,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_02,15.560000000000002,updated_assignment_02
2025-2026,0,SYN-SIS-000159,Synthetic Student 159,10,MATH-ALG2-H,Honors Algebra 2,honors,Y00-SEC-013,Honors Algebra 2 - Synthetic Section 01-13,TCH-003,Teacher 03,normal,0.9394,Assignment 01,Assignment 02,47.99,48.7,true,true,0.71,48.7125,44.01,51.1061,7.0961,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_02,0.7100000000000009,updated_assignment_02
2025-2026,0,SYN-SIS-000161,Synthetic Student 161,11,MATH-AP-PRECALC,AP Precalculus,ap,Y00-SEC-018,AP Precalculus - Synthetic Section 01-18,TCH-004,Teacher 04,normal,0.9282,Assignment 01,Assignment 02,47.54,55.87,true,true,8.33,54.8858,46.71,53.2419,6.5319,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_02,8.329999999999998,updated_assignment_02
2025-2026,0,SYN-SIS-000167,Synthetic Student 167,9,MATH-GEOM,Geometry,regular,Y00-SEC-005,Geometry - Synthetic Section 01-05,TCH-001,Teacher 01,normal,0.8967,Assignment 01,Assignment 02,69.93,0.0,true,false,,,71.4,73.3816,1.9816,absent_no_update,absent_no_update,observed_readiness_unchanged_absent,,observed_readiness_unchanged_absent
2025-2026,0,SYN-SIS-000203,Synthetic Student 203,11,MATH-PRECALC,Precalculus,regular,Y00-SEC-020,Precalculus - Synthetic Section 01-20,TCH-004,Teacher 04,high,0.9942,Assignment 01,Assignment 02,43.85,46.42,true,true,2.57,46.2286,44.77,47.369,2.599,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_02,2.5700000000000003,updated_assignment_02
2025-2026,0,SYN-SIS-000214,Synthetic Student 214,12,MATH-AP-CALC-AB,AP Calculus AB,ap,Y00-SEC-022,AP Calculus AB - Synthetic Section 01-22,TCH-005,Teacher 05,normal,0.9365,Assignment 01,Assignment 02,29.63,40.98,true,true,11.35,40.3892,37.26,40.4013,3.1413,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_02,11.349999999999998,updated_assignment_02
2025-2026,0,SYN-SIS-000225,Synthetic Student 225,9,MATH-ALG1,Algebra 1,regular,Y00-SEC-001,Algebra 1 - Synthetic Section 01-01,TCH-001,Teacher 01,normal,0.9671,Assignment 01,Assignment 02,43.02,53.35,true,true,10.33,51.8337,45.11,53.7598,8.6498,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_02,10.329999999999998,updated_assignment_02
2025-2026,0,SYN-SIS-000234,Synthetic Student 234,10,MATH-ALG2,Algebra 2,regular,Y00-SEC-009,Algebra 2 - Synthetic Section 01-09,TCH-002,Teacher 02,normal,0.9341,Assignment 01,Assignment 02,52.11,0.0,true,false,,,45.6,52.4985,6.8985,absent_no_update,absent_no_update,observed_readiness_unchanged_absent,,observed_readiness_unchanged_absent
2025-2026,0,SYN-SIS-000237,Synthetic Student 237,10,MATH-ALG2-H,Honors Algebra 2,honors,Y00-SEC-015,Honors Algebra 2 - Synthetic Section 01-15,TCH-003,Teacher 03,normal,0.9268,Assignment 01,Assignment 02,27.93,39.96,true,true,12.03,39.0935,32.01,41.9071,9.8971,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_02,12.030000000000001,updated_assignment_02
2025-2026,0,SYN-SIS-000248,Synthetic Student 248,12,MATH-AP-CALC-AB,AP Calculus AB,ap,Y00-SEC-022,AP Calculus AB - Synthetic Section 01-22,TCH-005,Teacher 05,high,0.9891,Assignment 01,Assignment 02,32.84,42.81,true,true,9.97,42.2929,34.43,41.2022,6.7722,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_02,9.969999999999999,updated_assignment_02
2025-2026,0,SYN-SIS-000260,Synthetic Student 260,9,MATH-GEOM,Geometry,regular,Y00-SEC-003,Geometry - Synthetic Section 01-03,TCH-002,Teacher 02,high,0.9762,Assignment 01,Assignment 02,91.75,92.97,true,true,1.22,90.7357,90.59,95.256,4.666,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_02,1.2199999999999989,updated_assignment_02
2025-2026,0,SYN-SIS-000261,Synthetic Student 261,9,MATH-GEOM,Geometry,regular,Y00-SEC-004,Geometry - Synthetic Section 01-04,TCH-002,Teacher 02,at_risk,0.6882,Assignment 01,Assignment 02,34.15,45.17,true,true,11.02,43.9346,40.05,43.3676,3.3176,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_02,11.020000000000003,updated_assignment_02
2025-2026,0,SYN-SIS-000265,Synthetic Student 265,9,MATH-GEOM,Geometry,regular,Y00-SEC-004,Geometry - Synthetic Section 01-04,TCH-002,Teacher 02,high,0.9886,Assignment 01,Assignment 02,10.02,19.73,true,true,9.71,19.7534,10.68,23.4781,12.7981,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_02,9.71,updated_assignment_02
2025-2026,0,SYN-SIS-000270,Synthetic Student 270,9,MATH-GEOM,Geometry,regular,Y00-SEC-004,Geometry - Synthetic Section 01-04,TCH-002,Teacher 02,high,0.9935,Assignment 01,Assignment 02,51.65,61.14,true,true,9.49,59.3765,54.47,57.7861,3.3161,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_02,9.490000000000002,updated_assignment_02
2025-2026,0,SYN-SIS-000274,Synthetic Student 274,9,MATH-ALG2-H,Honors Algebra 2,honors,Y00-SEC-014,Honors Algebra 2 - Synthetic Section 01-14,TCH-003,Teacher 03,high,0.9864,Assignment 01,Assignment 02,18.84,30.85,true,true,12.01,30.3057,22.22,31.946,9.726,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_02,12.010000000000002,updated_assignment_02
2026-2027,1,SYN-SIS-000029,Synthetic Student 029,10,MATH-ALG2,Algebra 2,regular,Y01-SEC-006,Algebra 2 - Synthetic Section 02-06,TCH-002,Teacher 02,high,0.981,Assignment 03,Assignment 04,49.17,55.4,true,true,6.23,54.3909,49.096,55.5545,6.4585,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_04,6.229999999999997,updated_assignment_04
2026-2027,1,SYN-SIS-000031,Synthetic Student 031,10,MATH-AP-PRECALC,AP Precalculus,ap,Y01-SEC-016,AP Precalculus - Synthetic Section 02-16,TCH-004,Teacher 04,high,0.9838,Assignment 03,Assignment 04,65.44,74.47,true,true,9.03,72.7605,67.1385,75.6063,8.4678,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_04,9.030000000000001,updated_assignment_04
2026-2027,1,SYN-SIS-000033,Synthetic Student 033,11,MATH-PRECALC,Precalculus,regular,Y01-SEC-018,Precalculus - Synthetic Section 02-18,TCH-003,Teacher 03,at_risk,0.669,Assignment 03,Assignment 04,42.58,51.3,true,true,8.72,50.0146,42.1377,48.9863,6.8486,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_04,8.719999999999999,updated_assignment_04
2026-2027,1,SYN-SIS-000039,Synthetic Student 039,10,MATH-ALG2,Algebra 2,regular,Y01-SEC-006,Algebra 2 - Synthetic Section 02-06,TCH-002,Teacher 02,normal,0.8871,Assignment 03,Assignment 04,37.39,0.0,true,false,,,38.7905,47.6328,8.8423,absent_no_update,absent_no_update,observed_readiness_unchanged_absent,,observed_readiness_unchanged_absent
2026-2027,1,SYN-SIS-000051,Synthetic Student 051,10,MATH-AP-CALC-AB,AP Calculus AB,ap,Y01-SEC-021,AP Calculus AB - Synthetic Section 02-21,TCH-005,Teacher 05,high,0.9473,Assignment 03,Assignment 04,68.15,66.34,true,true,-1.81,66.0886,62.456,68.0802,5.6242,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_04,-1.8100000000000023,updated_assignment_04
2026-2027,1,SYN-SIS-000052,Synthetic Student 052,11,MATH-ALG2-H,Honors Algebra 2,honors,Y01-SEC-010,Honors Algebra 2 - Synthetic Section 02-10,TCH-003,Teacher 03,high,0.9429,Assignment 03,Assignment 04,67.55,68.34,true,true,0.79,67.6093,64.3432,69.1442,4.801,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_04,0.7900000000000063,updated_assignment_04
2026-2027,1,SYN-SIS-000062,Synthetic Student 062,10,MATH-ALG2-H,Honors Algebra 2,honors,Y01-SEC-011,Honors Algebra 2 - Synthetic Section 02-11,TCH-003,Teacher 03,at_risk,0.6847,Assignment 03,Assignment 04,77.41,0.0,true,false,,,70.343,71.926,1.583,absent_no_update,absent_no_update,observed_readiness_unchanged_absent,,observed_readiness_unchanged_absent
2026-2027,1,SYN-SIS-000079,Synthetic Student 079,11,MATH-PRECALC,Precalculus,regular,Y01-SEC-017,Precalculus - Synthetic Section 02-17,TCH-003,Teacher 03,high,0.9849,Assignment 03,Assignment 04,66.6,76.03,true,true,9.43,74.1816,71.1915,77.9685,6.777,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_04,9.430000000000007,updated_assignment_04
2026-2027,1,SYN-SIS-000080,Synthetic Student 080,11,MATH-AP-CALC-AB,AP Calculus AB,ap,Y01-SEC-021,AP Calculus AB - Synthetic Section 02-21,TCH-005,Teacher 05,at_risk,0.5647,Assignment 03,Assignment 04,28.52,37.33,true,true,8.81,36.6746,30.1458,38.1332,7.9874,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_04,8.809999999999999,updated_assignment_04
2026-2027,1,SYN-SIS-000084,Synthetic Student 084,10,MATH-ALG2-H,Honors Algebra 2,honors,Y01-SEC-012,Honors Algebra 2 - Synthetic Section 02-12,TCH-003,Teacher 03,normal,0.8949,Assignment 03,Assignment 04,64.22,0.0,true,false,,,61.7037,65.3789,3.6752,absent_no_update,absent_no_update,observed_readiness_unchanged_absent,,observed_readiness_unchanged_absent
2026-2027,1,SYN-SIS-000085,Synthetic Student 085,10,MATH-ALG2-H,Honors Algebra 2,honors,Y01-SEC-012,Honors Algebra 2 - Synthetic Section 02-12,TCH-003,Teacher 03,high,0.9874,Assignment 03,Assignment 04,60.35,65.72,true,true,5.37,64.5147,59.7077,62.5215,2.8138,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_04,5.369999999999997,updated_assignment_04
2026-2027,1,SYN-SIS-000086,Synthetic Student 086,10,MATH-GEOM,Geometry,regular,Y01-SEC-003,Geometry - Synthetic Section 02-03,TCH-001,Teacher 01,high,0.9766,Assignment 03,Assignment 04,58.0,64.07,true,true,6.07,62.9052,59.1965,65.3674,6.1709,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_04,6.069999999999993,updated_assignment_04
2026-2027,1,SYN-SIS-000107,Synthetic Student 107,12,MATH-AP-CALC-BC,AP Calculus BC,ap,Y01-SEC-023,AP Calculus BC - Synthetic Section 02-23,TCH-005,Teacher 05,normal,0.9315,Assignment 03,Assignment 04,32.91,41.55,true,true,8.64,40.8108,30.4794,37.3192,6.8398,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_04,8.64,updated_assignment_04
2026-2027,1,SYN-SIS-000110,Synthetic Student 110,11,MATH-ALG2-H,Honors Algebra 2,honors,Y01-SEC-011,Honors Algebra 2 - Synthetic Section 02-11,TCH-003,Teacher 03,high,0.9706,Assignment 03,Assignment 04,75.92,79.51,true,true,3.59,78.2874,74.1701,78.5321,4.362,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_04,3.5900000000000034,updated_assignment_04
2026-2027,1,SYN-SIS-000119,Synthetic Student 119,10,MATH-ALG2,Algebra 2,regular,Y01-SEC-009,Algebra 2 - Synthetic Section 02-09,TCH-002,Teacher 02,high,0.9499,Assignment 03,Assignment 04,41.88,48.67,true,true,6.79,47.7924,43.3,50.4546,7.1546,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_04,6.789999999999999,updated_assignment_04
2026-2027,1,SYN-SIS-000139,Synthetic Student 139,12,MATH-AP-CALC-BC,AP Calculus BC,ap,Y01-SEC-022,AP Calculus BC - Synthetic Section 02-22,TCH-005,Teacher 05,normal,0.8868,Assignment 03,Assignment 04,42.62,44.92,true,true,2.3,44.971,43.1348,50.4144,7.2796,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_04,2.3000000000000043,updated_assignment_04
2026-2027,1,SYN-SIS-000151,Synthetic Student 151,10,MATH-ALG2-H,Honors Algebra 2,honors,Y01-SEC-011,Honors Algebra 2 - Synthetic Section 02-11,TCH-003,Teacher 03,at_risk,0.6845,Assignment 03,Assignment 04,66.44,67.59,true,true,1.15,66.8862,63.8712,68.3885,4.5173,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_04,1.1500000000000057,updated_assignment_04
2026-2027,1,SYN-SIS-000152,Synthetic Student 152,11,MATH-AP-CALC-AB,AP Calculus AB,ap,Y01-SEC-021,AP Calculus AB - Synthetic Section 02-21,TCH-005,Teacher 05,normal,0.9007,Assignment 03,Assignment 04,69.93,71.38,true,true,1.45,70.7873,72.0157,74.2554,2.2397,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_04,1.4499999999999886,updated_assignment_04
2026-2027,1,SYN-SIS-000154,Synthetic Student 154,12,MATH-AP-PRECALC,AP Precalculus,ap,Y01-SEC-016,AP Precalculus - Synthetic Section 02-16,TCH-004,Teacher 04,high,0.9831,Assignment 03,Assignment 04,94.73,93.12,true,true,-1.61,92.2783,92.7491,92.7599,0.0108,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_04,-1.6099999999999994,updated_assignment_04
2026-2027,1,SYN-SIS-000176,Synthetic Student 176,11,MATH-AP-CALC-AB,AP Calculus AB,ap,Y01-SEC-020,AP Calculus AB - Synthetic Section 02-20,TCH-005,Teacher 05,high,0.9915,Assignment 03,Assignment 04,23.57,34.1,true,true,10.53,33.3986,26.5173,34.6899,8.1726,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_04,10.530000000000001,updated_assignment_04
2026-2027,1,SYN-SIS-000193,Synthetic Student 193,10,MATH-ALG2-H,Honors Algebra 2,honors,Y01-SEC-012,Honors Algebra 2 - Synthetic Section 02-12,TCH-003,Teacher 03,normal,0.9055,Assignment 03,Assignment 04,0.0,76.52,false,true,-1.97,75.844,68.1142,76.8974,8.7832,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_04,,updated_assignment_04
2026-2027,1,SYN-SIS-000203,Synthetic Student 203,12,MATH-AP-CALC-AB,AP Calculus AB,ap,Y01-SEC-021,AP Calculus AB - Synthetic Section 02-21,TCH-005,Teacher 05,high,0.9942,Assignment 03,Assignment 04,45.42,55.7,true,true,10.28,54.4078,45.924,49.5513,3.6273,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_04,10.280000000000001,updated_assignment_04
2026-2027,1,SYN-SIS-000204,Synthetic Student 204,10,MATH-GEOM,Geometry,regular,Y01-SEC-002,Geometry - Synthetic Section 02-02,TCH-002,Teacher 02,high,0.9574,Assignment 03,Assignment 04,44.19,54.43,true,true,10.24,52.9595,44.2769,51.2601,6.9832,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_04,10.240000000000002,updated_assignment_04
2026-2027,1,SYN-SIS-000215,Synthetic Student 215,10,MATH-ALG2-H,Honors Algebra 2,honors,Y01-SEC-012,Honors Algebra 2 - Synthetic Section 02-12,TCH-003,Teacher 03,high,0.982,Assignment 03,Assignment 04,55.44,57.48,true,true,2.04,57.1183,55.4549,61.503,6.0481,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_04,2.039999999999999,updated_assignment_04
2026-2027,1,SYN-SIS-000223,Synthetic Student 223,12,MATH-AP-CALC-BC,AP Calculus BC,ap,Y01-SEC-023,AP Calculus BC - Synthetic Section 02-23,TCH-005,Teacher 05,normal,0.9187,Assignment 03,Assignment 04,22.22,0.0,true,false,,,18.6725,24.5378,5.8653,absent_no_update,absent_no_update,observed_readiness_unchanged_absent,,observed_readiness_unchanged_absent
2026-2027,1,SYN-SIS-000241,Synthetic Student 241,11,MATH-AP-PRECALC,AP Precalculus,ap,Y01-SEC-016,AP Precalculus - Synthetic Section 02-16,TCH-004,Teacher 04,normal,0.9214,Assignment 03,Assignment 04,66.93,76.18,true,true,9.25,74.4981,72.5653,74.3295,1.7642,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_04,9.25,updated_assignment_04
2026-2027,1,SYN-SIS-000246,Synthetic Student 246,10,MATH-ALG2,Algebra 2,regular,Y01-SEC-008,Algebra 2 - Synthetic Section 02-08,TCH-002,Teacher 02,high,0.981,Assignment 03,Assignment 04,29.73,33.05,true,true,3.32,33.0956,31.1411,38.1724,7.0313,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_04,3.3199999999999967,updated_assignment_04
2026-2027,1,SYN-SIS-000249,Synthetic Student 249,11,MATH-PRECALC,Precalculus,regular,Y01-SEC-018,Precalculus - Synthetic Section 02-18,TCH-003,Teacher 03,normal,0.9469,Assignment 03,Assignment 04,29.45,33.65,true,true,4.2,33.5402,31.6954,35.53,3.8346,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_04,4.199999999999999,updated_assignment_04
2026-2027,1,SYN-SIS-000272,Synthetic Student 272,12,MATH-AP-PRECALC,AP Precalculus,ap,Y01-SEC-015,AP Precalculus - Synthetic Section 02-15,TCH-004,Teacher 04,normal,0.8702,Assignment 03,Assignment 04,71.11,0.0,true,false,,,72.6617,79.1416,6.4799,absent_no_update,absent_no_update,observed_readiness_unchanged_absent,,observed_readiness_unchanged_absent
2026-2027,1,SYN-SIS-000273,Synthetic Student 273,11,MATH-ALG2-H,Honors Algebra 2,honors,Y01-SEC-012,Honors Algebra 2 - Synthetic Section 02-12,TCH-003,Teacher 03,at_risk,0.6879,Assignment 03,Assignment 04,61.04,72.17,true,true,11.13,70.2961,64.0929,72.9714,8.8785,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_04,11.130000000000003,updated_assignment_04
2026-2027,1,SYN-SIS-000276,Synthetic Student 276,12,MATH-AP-CALC-AB,AP Calculus AB,ap,Y01-SEC-021,AP Calculus AB - Synthetic Section 02-21,TCH-005,Teacher 05,normal,0.9263,Assignment 03,Assignment 04,38.62,49.13,true,true,10.51,48.1328,42.1116,46.1939,4.0823,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_04,10.510000000000005,updated_assignment_04
2026-2027,1,SYN-SIS-000278,Synthetic Student 278,11,MATH-ALG2-H,Honors Algebra 2,honors,Y01-SEC-011,Honors Algebra 2 - Synthetic Section 02-11,TCH-003,Teacher 03,high,0.9599,Assignment 03,Assignment 04,95.77,97.03,true,true,1.26,95.6177,93.7382,95.6496,1.9114,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_04,1.2600000000000051,updated_assignment_04
2026-2027,1,SYN-SIS-000286,Synthetic Student 286,12,MATH-ALG2,Algebra 2,regular,Y01-SEC-008,Algebra 2 - Synthetic Section 02-08,TCH-002,Teacher 02,at_risk,0.6373,Assignment 03,Assignment 04,0.0,45.99,false,true,4.04,45.6954,34.6999,42.628,7.9281,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_04,,updated_assignment_04
2026-2027,1,SYN-SIS-000290,Synthetic Student 290,9,MATH-ALG1,Algebra 1,regular,Y01-SEC-001,Algebra 1 - Synthetic Section 02-01,TCH-001,Teacher 01,high,0.9775,Assignment 03,Assignment 04,4.91,13.74,true,true,8.83,14.1235,11.15,18.3382,7.1882,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_04,8.83,updated_assignment_04
2026-2027,1,SYN-SIS-000303,Synthetic Student 303,9,MATH-GEOM,Geometry,regular,Y01-SEC-005,Geometry - Synthetic Section 02-05,TCH-001,Teacher 01,high,0.991,Assignment 03,Assignment 04,35.44,46.31,true,true,10.87,45.0415,38.07,45.5786,7.5086,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_04,10.870000000000005,updated_assignment_04
2026-2027,1,SYN-SIS-000304,Synthetic Student 304,9,MATH-GEOM,Geometry,regular,Y01-SEC-002,Geometry - Synthetic Section 02-02,TCH-002,Teacher 02,normal,0.9353,Assignment 03,Assignment 04,47.2,46.82,true,true,-0.38,46.7827,45.32,47.9368,2.6168,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_04,-0.38000000000000256,updated_assignment_04
2026-2027,1,SYN-SIS-000305,Synthetic Student 305,9,MATH-GEOM,Geometry,regular,Y01-SEC-002,Geometry - Synthetic Section 02-02,TCH-002,Teacher 02,normal,0.9303,Assignment 03,Assignment 04,43.17,49.84,true,true,6.67,48.885,44.02,46.9878,2.9678,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_04,6.670000000000002,updated_assignment_04
2026-2027,1,SYN-SIS-000315,Synthetic Student 315,9,MATH-ALG1,Algebra 1,regular,Y01-SEC-001,Algebra 1 - Synthetic Section 02-01,TCH-001,Teacher 01,normal,0.9378,Assignment 03,Assignment 04,38.67,51.93,true,true,13.26,50.1493,37.94,45.2527,7.3127,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_04,13.259999999999998,updated_assignment_04
2026-2027,1,SYN-SIS-000320,Synthetic Student 320,9,MATH-GEOM,Geometry,regular,Y01-SEC-003,Geometry - Synthetic Section 02-03,TCH-001,Teacher 01,high,0.9935,Assignment 03,Assignment 04,27.85,29.12,true,true,1.27,29.6731,28.22,33.179,4.959,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_04,1.2699999999999996,updated_assignment_04
2026-2027,1,SYN-SIS-000321,Synthetic Student 321,9,MATH-ALG1,Algebra 1,regular,Y01-SEC-001,Algebra 1 - Synthetic Section 02-01,TCH-001,Teacher 01,high,0.9965,Assignment 03,Assignment 04,34.65,35.58,true,true,0.93,35.8884,33.69,38.7845,5.0945,school_year_growth_from_latent_readiness,school_year_growth,updated_assignment_04,0.9299999999999997,updated_assignment_04
