school_year,school_year_offset,Student,SIS User ID,grade_level,course_id,section_id,teacher_id,enrollment_status
2025-2026,0,Synthetic Student 018,SYN-SIS-000018,10,MATH-GEOM,Y00-SEC-008,TCH-002,active
2025-2026,0,Synthetic Student 019,SYN-SIS-000019,9,MATH-GEOM,Y00-SEC-005,TCH-001,active
2025-2026,0,Synthetic Student 020,SYN-SIS-000020,11,MATH-PRECALC,Y00-SEC-020,TCH-004,active
2025-2026,0,Synthetic Student 021,SYN-SIS-000021,11,MATH-AP-PRECALC,Y00-SEC-016,TCH-004,active
2025-2026,0,Synthetic Student 022,SYN-SIS-000022,9,MATH-GEOM,Y00-SEC-005,TCH-001,active
2025-2026,0,Synthetic Student 023,SYN-SIS-000023,10,MATH-ALG2,Y00-SEC-009,TCH-002,active
2025-2026,0,Synthetic Student 024,SYN-SIS-000024,12,MATH-AP-CALC-BC,Y00-SEC-025,TCH-005,active
2025-2026,0,Synthetic Student 025,SYN-SIS-000025,9,MATH-GEOM,Y00-SEC-003,TCH-002,active
2025-2026,0,Synthetic Student 026,SYN-SIS-000026,10,MATH-AP-CALC-AB,Y00-SEC-023,TCH-005,active
2025-2026,0,Synthetic Student 027,SYN-SIS-000027,10,MATH-ALG2-H,Y00-SEC-014,TCH-003,active
2025-2026,0,Synthetic Student 028,SYN-SIS-000028,10,MATH-AP-PRECALC,Y00-SEC-016,TCH-004,active
2025-2026,0,Synthetic Student 029,SYN-SIS-000029,9,MATH-GEOM,Y00-SEC-008,TCH-002,active
2025-2026,0,Synthetic Student 030,SYN-SIS-000030,10,MATH-GEOM,Y00-SEC-008,TCH-002,active
2025-2026,0,Synthetic Student 031,SYN-SIS-000031,9,MATH-ALG2-H,Y00-SEC-012,TCH-003,active
2025-2026,0,Synthetic Student 032,SYN-SIS-000032,9,MATH-GEOM,Y00-SEC-006,TCH-002,active
2025-2026,0,Synthetic Student 033,SYN-SIS-000033,10,MATH-ALG2,Y00-SEC-010,TCH-002,active
2025-2026,0,Synthetic Student 034,SYN-SIS-000034,12,MATH-AP-CALC-BC,Y00-SEC-025,TCH-005,active
2025-2026,0,Synthetic Student 035,SYN-SIS-000035,9,MATH-ALG1,Y00-SEC-001,TCH-001,active
2025-2026,0,Synthetic Student 036,SYN-SIS-000036,12,MATH-AP-CALC-AB,Y00-SEC-023,TCH-005,active
2025-2026,0,Synthetic Student 037,SYN-SIS-000037,11,MATH-AP-PRECALC,Y00-SEC-016,TCH-004,active
2025-2026,0,Synthetic Student 038,SYN-SIS-000038,11,MATH-AP-CALC-AB,Y00-SEC-021,TCH-005,active
2025-2026,0,Synthetic Student 039,SYN-SIS-000039,9,MATH-GEOM,Y00-SEC-007,TCH-001,active
2025-2026,0,Synthetic Student 040,SYN-SIS-000040,12,MATH-AP-CALC-BC,Y00-SEC-026,TCH-005,active
2025-2026,0,Synthetic Student 041,SYN-SIS-000041,11,MATH-AP-PRECALC,Y00-SEC-016,TCH-004,active
2025-2026,0,Synthetic Student 042,SYN-SIS-000042,12,MATH-AP-PRECALC,Y00-SEC-016,TCH-004,active
2025-2026,0,Synthetic Student 043,SYN-SIS-000043,11,MATH-ALG2,Y00-SEC-011,TCH-003,active
2025-2026,0,Synthetic Student 044,SYN-SIS-000044,12,MATH-PRECALC,Y00-SEC-019,TCH-004,active
2025-2026,0,Synthetic Student 045,SYN-SIS-000045,9,MATH-ALG2-H,Y00-SEC-012,TCH-003,active
2025-2026,0,Synthetic Student 046,SYN-SIS-000046,9,MATH-ALG1,Y00-SEC-001,TCH-001,active
2025-2026,0,Synthetic Student 047,SYN-SIS-000047,11,MATH-GEOM,Y00-SEC-004,TCH-002,active
2025-2026,0,Synthetic Student 048,SYN-SIS-000048,12,MATH-AP-CALC-BC,Y00-SEC-026,TCH-005,active
2025-2026,0,Synthetic Student 049,SYN-SIS-000049,12,MATH-AP-PRECALC,Y00-SEC-016,TCH-004,active
2025-2026,0,Synthetic Student 050,SYN-SIS-000050,9,MATH-ALG1,Y00-SEC-002,TCH-001,active
2025-2026,0,Synthetic Student 051,SYN-SIS-000051,9,MATH-AP-PRECALC,Y00-SEC-017,TCH-004,active
2025-2026,0,Synthetic Student 052,SYN-SIS-000052,10,MATH-GEOM,Y00-SEC-006,TCH-002,active
2025-2026,0,Synthetic Student 053,SYN-SIS-000053,9,MATH-AP-PRECALC,Y00-SEC-018,TCH-004,active
2025-2026,0,Synthetic Student 054,SYN-SIS-000054,9,MATH-GEOM,Y00-SEC-007,TCH-001,active
2025-2026,0,Synthetic Student 055,SYN-SIS-000055,9,MATH-ALG2-H,Y00-SEC-013,TCH-003,active
2025-2026,0,Synthetic Student 056,SYN-SIS-000056,12,MATH-AP-CALC-BC,Y00-SEC-026,TCH-005,active
2025-2026,0,Synthetic Student 057,SYN-SIS-000057,9,MATH-ALG2-H,Y00-SEC-014,TCH-003,active
2025-2026,0,Synthetic Student 058,SYN-SIS-000058,9,MATH-GEOM,Y00-SEC-007,TCH-001,active
2025-2026,0,Synthetic Student 059,SYN-SIS-000059,10,MATH-ALG2,Y00-SEC-009,TCH-002,active
2025-2026,0,Synthetic Student 060,SYN-SIS-000060,11,MATH-AP-PRECALC,Y00-SEC-017,TCH-004,active
2025-2026,0,Synthetic Student 061,SYN-SIS-000061,10,MATH-ALG2,Y00-SEC-009,TCH-002,active
2025-2026,0,Synthetic Student 062,SYN-SIS-000062,9,MATH-GEOM,Y00-SEC-003,TCH-002,active
2025-2026,0,Synthetic Student 063,SYN-SIS-000063,10,MATH-GEOM,Y00-SEC-007,TCH-001,active
2025-2026,0,Synthetic Student 064,SYN-SIS-000064,11,MATH-ALG2,Y00-SEC-009,TCH-002,active
2025-2026,0,Synthetic Student 065,SYN-SIS-000065,9,MATH-ALG1,Y00-SEC-002,TCH-001,active
2025-2026,0,Synthetic Student 066,SYN-SIS-000066,10,MATH-ALG2,Y00-SEC-010,TCH-002,active
2025-2026,0,Synthetic Student 067,SYN-SIS-000067,10,MATH-AP-CALC-AB,Y00-SEC-024,TCH-005,active
2025-2026,0,Synthetic Student 068,SYN-SIS-000068,11,MATH-AP-CALC-AB,Y00-SEC-023,TCH-005,active
2025-2026,0,Synthetic Student 069,SYN-SIS-000069,10,MATH-ALG2,Y00-SEC-010,TCH-002,active
2025-2026,0,Synthetic Student 070,SYN-SIS-000070,9,MATH-GEOM,Y00-SEC-008,TCH-002,active
2025-2026,0,Synthetic Student 071,SYN-SIS-000071,11,MATH-ALG2,Y00-SEC-011,TCH-003,active
2025-2026,0,Synthetic Student 072,SYN-SIS-000072,11,MATH-GEOM,Y00-SEC-003,TCH-002,active
2025-2026,0,Synthetic Student 073,SYN-SIS-000073,10,MATH-AP-PRECALC,Y00-SEC-018,TCH-004,active
2025-2026,0,Synthetic Student 074,SYN-SIS-000074,12,MATH-AP-PRECALC,Y00-SEC-016,TCH-004,active
2025-2026,0,Synthetic Student 075,SYN-SIS-000075,11,MATH-AP-CALC-AB,Y00-SEC-021,TCH-005,active
2025-2026,0,Synthetic Student 076,SYN-SIS-000076,10,MATH-ALG2,Y00-SEC-011,TCH-003,active
2025-2026,0,Synthetic Student 077,SYN-SIS-000077,11,MATH-AP-CALC-AB,Y00-SEC-021,TCH-005,active
2025-2026,0,Synthetic Student 078,SYN-SIS-000078,10,MATH-AP-PRECALC,Y00-SEC-018,TCH-004,active
2025-2026,0,Synthetic Student 079,SYN-SIS-000079,10,MATH-ALG2,Y00-SEC-009,TCH-002,active
2025-2026,0,Synthetic Student 080,SYN-SIS-000080,10,MATH-AP-PRECALC,Y00-SEC-018,TCH-004,active
2025-2026,0,Synthetic Student 081,SYN-SIS-000081,9,MATH-ALG1,Y00-SEC-001,TCH-001,active
2025-2026,0,Synthetic Student 082,SYN-SIS-000082,11,MATH-AP-CALC-AB,Y00-SEC-022,TCH-005,active
2025-2026,0,Synthetic Student 083,SYN-SIS-000083,11,MATH-PRECALC,Y00-SEC-020,TCH-004,active
2025-2026,0,Synthetic Student 084,SYN-SIS-000084,9,MATH-GEOM,Y00-SEC-004,TCH-002,active
2025-2026,0,Synthetic Student 085,SYN-SIS-000085,9,MATH-GEOM,Y00-SEC-007,TCH-001,active
2025-2026,0,Synthetic Student 086,SYN-SIS-000086,9,MATH-ALG1,Y00-SEC-002,TCH-001,active
2025-2026,0,Synthetic Student 087,SYN-SIS-000087,10,MATH-ALG2,Y00-SEC-011,TCH-003,active
2025-2026,0,Synthetic Student 088,SYN-SIS-000088,10,MATH-ALG2,Y00-SEC-010,TCH-002,active
2025-2026,0,Synthetic Student 089,SYN-SIS-000089,11,MATH-PRECALC,Y00-SEC-019,TCH-004,active
2025-2026,0,Synthetic Student 090,SYN-SIS-000090,11,MATH-ALG2-H,Y00-SEC-013,TCH-003,active
2025-2026,0,Synthetic Student 091,SYN-SIS-000091,10,MATH-ALG2,Y00-SEC-010,TCH-002,active
2025-2026,0,Synthetic Student 092,SYN-SIS-000092,9,MATH-ALG2-H,Y00-SEC-012,TCH-003,active
2025-2026,0,Synthetic Student 093,SYN-SIS-000093,12,MATH-AP-CALC-AB,Y00-SEC-023,TCH-005,active
2025-2026,0,Synthetic Student 094,SYN-SIS-000094,10,MATH-ALG2-H,Y00-SEC-013,TCH-003,active
2025-2026,0,Synthetic Student 095,SYN-SIS-000095,12,MATH-AP-CALC-AB,Y00-SEC-022,TCH-005,active
2025-2026,0,Synthetic Student 096,SYN-SIS-000096,12,MATH-AP-CALC-AB,Y00-SEC-021,TCH-005,active
2025-2026,0,Synthetic Student 097,SYN-SIS-000097,10,MATH-ALG2,Y00-SEC-010,TCH-002,active
2025-2026,0,Synthetic Student 098,SYN-SIS-000098,10,MATH-ALG2-H,Y00-SEC-012,TCH-003,active
2025-2026,0,Synthetic Student 099,SYN-SIS-000099,12,MATH-AP-PRECALC,Y00-SEC-017,TCH-004,active
2025-2026,0,Synthetic Student 100,SYN-SIS-000100,9,MATH-ALG1,Y00-SEC-001,TCH-001,active
2025-2026,0,Synthetic Student 101,SYN-SIS-000101,12,MATH-AP-CALC-AB,Y00-SEC-024,TCH-005,active
2025-2026,0,Synthetic Student 102,SYN-SIS-000102,12,MATH-AP-PRECALC,Y00-SEC-018,TCH-004,active
2025-2026,0,Synthetic Student 103,SYN-SIS-000103,12,MATH-AP-CALC-BC,Y00-SEC-025,TCH-005,active
2025-2026,0,Synthetic Student 104,SYN-SIS-000104,12,MATH-PRECALC,Y00-SEC-020,TCH-004,active
2025-2026,0,Synthetic Student 105,SYN-SIS-000105,9,MATH-GEOM,Y00-SEC-007,TCH-001,active
2025-2026,0,Synthetic Student 106,SYN-SIS-000106,12,MATH-PRECALC,Y00-SEC-019,TCH-004,active
2025-2026,0,Synthetic Student 107,SYN-SIS-000107,11,MATH-AP-CALC-AB,Y00-SEC-021,TCH-005,active
2025-2026,0,Synthetic Student 108,SYN-SIS-000108,11,MATH-ALG2-H,Y00-SEC-015,TCH-003,active
2025-2026,0,Synthetic Student 109,SYN-SIS-000109,10,MATH-ALG2-H,Y00-SEC-012,TCH-003,active
2025-2026,0,Synthetic Student 110,SYN-SIS-000110,10,MATH-GEOM,Y00-SEC-004,TCH-002,active
2025-2026,0,Synthetic Student 111,SYN-SIS-000111,9,MATH-GEOM,Y00-SEC-003,TCH-002,active
2025-2026,0,Synthetic Student 112,SYN-SIS-000112,9,MATH-ALG2-H,Y00-SEC-014,TCH-003,active
2025-2026,0,Synthetic Student 113,SYN-SIS-000113,9,MATH-ALG1,Y00-SEC-001,TCH-001,active
2025-2026,0,Synthetic Student 114,SYN-SIS-000114,9,MATH-GEOM,Y00-SEC-006,TCH-002,active
2025-2026,0,Synthetic Student 115,SYN-SIS-000115,10,MATH-ALG1,Y00-SEC-001,TCH-001,active
2025-2026,0,Synthetic Student 116,SYN-SIS-000116,9,MATH-GEOM,Y00-SEC-006,TCH-002,active
2025-2026,0,Synthetic Student 117,SYN-SIS-000117,12,MATH-AP-CALC-BC,Y00-SEC-026,TCH-005,active
2025-2026,0,Synthetic Student 118,SYN-SIS-000118,12,MATH-AP-CALC-BC,Y00-SEC-026,TCH-005,active
2025-2026,0,Synthetic Student 119,SYN-SIS-000119,9,MATH-GEOM,Y00-SEC-005,TCH-001,active
2025-2026,0,Synthetic Student 120,SYN-SIS-000120,10,MATH-ALG2-H,Y00-SEC-013,TCH-003,active
2025-2026,0,Synthetic Student 121,SYN-SIS-000121,10,MATH-ALG2,Y00-SEC-010,TCH-002,active
2025-2026,0,Synthetic Student 122,SYN-SIS-000122,10,MATH-GEOM,Y00-SEC-004,TCH-002,active
2025-2026,0,Synthetic Student 123,SYN-SIS-000123,10,MATH-AP-PRECALC,Y00-SEC-017,TCH-004,active
2025-2026,0,Synthetic Student 124,SYN-SIS-000124,12,MATH-PRECALC,Y00-SEC-019,TCH-004,active
2025-2026,0,Synthetic Student 125,SYN-SIS-000125,12,MATH-AP-CALC-AB,Y00-SEC-024,TCH-005,active
2025-2026,0,Synthetic Student 126,SYN-SIS-000126,9,MATH-GEOM,Y00-SEC-005,TCH-001,active
2025-2026,0,Synthetic Student 127,SYN-SIS-000127,9,MATH-ALG2-H,Y00-SEC-013,TCH-003,active
2025-2026,0,Synthetic Student 128,SYN-SIS-000128,10,MATH-GEOM,Y00-SEC-008,TCH-002,active
2025-2026,0,Synthetic Student 129,SYN-SIS-000129,12,MATH-AP-CALC-BC,Y00-SEC-026,TCH-005,active
2025-2026,0,Synthetic Student 130,SYN-SIS-000130,11,MATH-ALG2-H,Y00-SEC-013,TCH-003,active
2025-2026,0,Synthetic Student 131,SYN-SIS-000131,12,MATH-AP-CALC-BC,Y00-SEC-025,TCH-005,active
2025-2026,0,Synthetic Student 132,SYN-SIS-000132,10,MATH-PRECALC,Y00-SEC-019,TCH-004,active
2025-2026,0,Synthetic Student 133,SYN-SIS-000133,11,MATH-ALG2,Y00-SEC-011,TCH-003,active
2025-2026,0,Synthetic Student 134,SYN-SIS-000134,10,MATH-ALG2,Y00-SEC-011,TCH-003,active
2025-2026,0,Synthetic Student 135,SYN-SIS-000135,11,MATH-ALG2-H,Y00-SEC-014,TCH-003,active
2025-2026,0,Synthetic Student 136,SYN-SIS-000136,11,MATH-AP-CALC-BC,Y00-SEC-025,TCH-005,active
2025-2026,0,Synthetic Student 137,SYN-SIS-000137,12,MATH-AP-CALC-AB,Y00-SEC-021,TCH-005,active
2025-2026,0,Synthetic Student 138,SYN-SIS-000138,12,MATH-AP-CALC-AB,Y00-SEC-024,TCH-005,active
2025-2026,0,Synthetic Student 139,SYN-SIS-000139,11,MATH-AP-CALC-AB,Y00-SEC-023,TCH-005,active
2025-2026,0,Synthetic Student 140,SYN-SIS-000140,10,MATH-ALG2,Y00-SEC-009,TCH-002,active
2025-2026,0,Synthetic Student 141,SYN-SIS-000141,12,MATH-AP-CALC-AB,Y00-SEC-023,TCH-005,active
2025-2026,0,Synthetic Student 142,SYN-SIS-000142,9,MATH-ALG1,Y00-SEC-001,TCH-001,active
2025-2026,0,Synthetic Student 143,SYN-SIS-000143,9,MATH-GEOM,Y00-SEC-007,TCH-001,active
2025-2026,0,Synthetic Student 144,SYN-SIS-000144,12,MATH-AP-CALC-AB,Y00-SEC-024,TCH-005,active
2025-2026,0,Synthetic Student 145,SYN-SIS-000145,10,MATH-GEOM,Y00-SEC-008,TCH-002,active
2025-2026,0,Synthetic Student 146,SYN-SIS-000146,9,MATH-GEOM,Y00-SEC-006,TCH-002,active
2025-2026,0,Synthetic Student 147,SYN-SIS-000147,11,MATH-AP-CALC-AB,Y00-SEC-021,TCH-005,active
2025-2026,0,Synthetic Student 148,SYN-SIS-000148,10,MATH-ALG2-H,Y00-SEC-014,TCH-003,active
2025-2026,0,Synthetic Student 149,SYN-SIS-000149,9,MATH-GEOM,Y00-SEC-003,TCH-002,active
2025-2026,0,Synthetic Student 150,SYN-SIS-000150,9,MATH-GEOM,Y00-SEC-005,TCH-001,active
2025-2026,0,Synthetic Student 151,SYN-SIS-000151,9,MATH-GEOM,Y00-SEC-006,TCH-002,active
2025-2026,0,Synthetic Student 152,SYN-SIS-000152,10,MATH-AP-PRECALC,Y00-SEC-016,TCH-004,active
2025-2026,0,Synthetic Student 153,SYN-SIS-000153,12,MATH-AP-CALC-BC,Y00-SEC-025,TCH-005,active
2025-2026,0,Synthetic Student 154,SYN-SIS-000154,11,MATH-ALG2-H,Y00-SEC-012,TCH-003,active
2025-2026,0,Synthetic Student 155,SYN-SIS-000155,10,MATH-ALG2-H,Y00-SEC-012,TCH-003,active
2025-2026,0,Synthetic Student 156,SYN-SIS-000156,9,MATH-GEOM,Y00-SEC-007,TCH-001,active
2025-2026,0,Synthetic Student 157,SYN-SIS-000157,9,MATH-GEOM,Y00-SEC-005,TCH-001,active
2025-2026,0,Synthetic Student 158,SYN-SIS-000158,11,MATH-AP-CALC-AB,Y00-SEC-021,TCH-005,active
2025-2026,0,Synthetic Student 159,SYN-SIS-000159,10,MATH-ALG2-H,Y00-SEC-013,TCH-003,active
2025-2026,0,Synthetic Student 160,SYN-SIS-000160,9,MATH-ALG2-H,Y00-SEC-015,TCH-003,active
2025-2026,0,Synthetic Student 161,SYN-SIS-000161,11,MATH-AP-PRECALC,Y00-SEC-018,TCH-004,active
2025-2026,0,Synthetic Student 162,SYN-SIS-000162,12,MATH-AP-CALC-AB,Y00-SEC-024,TCH-005,active
2025-2026,0,Synthetic Student 163,SYN-SIS-000163,12,MATH-AP-CALC-AB,Y00-SEC-023,TCH-005,active
2025-2026,0,Synthetic Student 164,SYN-SIS-000164,10,MATH-ALG2,Y00-SEC-011,TCH-003,active
2025-2026,0,Synthetic Student 165,SYN-SIS-000165,10,MATH-GEOM,Y00-SEC-005,TCH-001,active
2025-2026,0,Synthetic Student 166,SYN-SIS-000166,9,MATH-GEOM,Y00-SEC-007,TCH-001,active
2025-2026,0,Synthetic Student 167,SYN-SIS-000167,9,MATH-GEOM,Y00-SEC-005,TCH-001,active
2025-2026,0,Synthetic Student 168,SYN-SIS-000168,12,MATH-AP-CALC-BC,Y00-SEC-025,TCH-005,active
2025-2026,0,Synthetic Student 169,SYN-SIS-000169,12,MATH-AP-CALC-BC,Y00-SEC-025,TCH-005,active
2025-2026,0,Synthetic Student 170,SYN-SIS-000170,9,MATH-GEOM,Y00-SEC-003,TCH-002,active
2025-2026,0,Synthetic Student 171,SYN-SIS-000171,9,MATH-ALG1,Y00-SEC-002,TCH-001,active
2025-2026,0,Synthetic Student 172,SYN-SIS-000172,9,MATH-ALG1,Y00-SEC-001,TCH-001,active
2025-2026,0,Synthetic Student 173,SYN-SIS-000173,9,MATH-ALG2-H,Y00-SEC-013,TCH-003,active
2025-2026,0,Synthetic Student 174,SYN-SIS-000174,10,MATH-ALG2-H,Y00-SEC-014,TCH-003,active
2025-2026,0,Synthetic Student 175,SYN-SIS-000175,11,MATH-AP-CALC-AB,Y00-SEC-021,TCH-005,active
2025-2026,0,Synthetic Student 176,SYN-SIS-000176,10,MATH-AP-PRECALC,Y00-SEC-018,TCH-004,active
2025-2026,0,Synthetic Student 177,SYN-SIS-000177,9,MATH-ALG2-H,Y00-SEC-015,TCH-003,active
2025-2026,0,Synthetic Student 178,SYN-SIS-000178,9,MATH-GEOM,Y00-SEC-006,TCH-002,active
2025-2026,0,Synthetic Student 179,SYN-SIS-000179,12,MATH-AP-CALC-AB,Y00-SEC-022,TCH-005,active
2025-2026,0,Synthetic Student 180,SYN-SIS-000180,9,MATH-GEOM,Y00-SEC-007,TCH-001,active
2025-2026,0,Synthetic Student 181,SYN-SIS-000181,10,MATH-ALG2-H,Y00-SEC-014,TCH-003,active
2025-2026,0,Synthetic Student 182,SYN-SIS-000182,12,MATH-AP-CALC-AB,Y00-SEC-021,TCH-005,active
2025-2026,0,Synthetic Student 183,SYN-SIS-000183,10,MATH-AP-CALC-AB,Y00-SEC-022,TCH-005,active
2025-2026,0,Synthetic Student 184,SYN-SIS-000184,9,MATH-GEOM,Y00-SEC-003,TCH-002,active
2025-2026,0,Synthetic Student 185,SYN-SIS-000185,11,MATH-AP-CALC-AB,Y00-SEC-022,TCH-005,active
2025-2026,0,Synthetic Student 186,SYN-SIS-000186,11,MATH-PRECALC,Y00-SEC-019,TCH-004,active
2025-2026,0,Synthetic Student 187,SYN-SIS-000187,12,MATH-AP-CALC-AB,Y00-SEC-022,TCH-005,active
2025-2026,0,Synthetic Student 188,SYN-SIS-000188,10,MATH-GEOM,Y00-SEC-007,TCH-001,active
2025-2026,0,Synthetic Student 189,SYN-SIS-000189,10,MATH-ALG2,Y00-SEC-010,TCH-002,active
2025-2026,0,Synthetic Student 190,SYN-SIS-000190,12,MATH-AP-CALC-BC,Y00-SEC-025,TCH-005,active
2025-2026,0,Synthetic Student 191,SYN-SIS-000191,11,MATH-ALG2,Y00-SEC-009,TCH-002,active
2025-2026,0,Synthetic Student 192,SYN-SIS-000192,11,MATH-ALG2-H,Y00-SEC-012,TCH-003,active
2025-2026,0,Synthetic Student 193,SYN-SIS-000193,9,MATH-GEOM,Y00-SEC-008,TCH-002,active
2025-2026,0,Synthetic Student 194,SYN-SIS-000194,12,MATH-AP-CALC-AB,Y00-SEC-024,TCH-005,active
2025-2026,0,Synthetic Student 195,SYN-SIS-000195,9,MATH-GEOM,Y00-SEC-004,TCH-002,active
2025-2026,0,Synthetic Student 196,SYN-SIS-000196,9,MATH-ALG2-H,Y00-SEC-014,TCH-003,active
2025-2026,0,Synthetic Student 197,SYN-SIS-000197,10,MATH-PRECALC,Y00-SEC-020,TCH-004,active
2025-2026,0,Synthetic Student 198,SYN-SIS-000198,10,MATH-GEOM,Y00-SEC-005,TCH-001,active
2025-2026,0,Synthetic Student 199,SYN-SIS-000199,12,MATH-AP-PRECALC,Y00-SEC-017,TCH-004,active
2025-2026,0,Synthetic Student 200,SYN-SIS-000200,9,MATH-GEOM,Y00-SEC-003,TCH-002,active
2025-2026,0,Synthetic Student 201,SYN-SIS-000201,10,MATH-AP-PRECALC,Y00-SEC-017,TCH-004,active
2025-2026,0,Synthetic Student 202,SYN-SIS-000202,10,MATH-ALG2-H,Y00-SEC-015,TCH-003,active
2025-2026,0,Synthetic Student 203,SYN-SIS-000203,11,MATH-PRECALC,Y00-SEC-020,TCH-004,active
2025-2026,0,Synthetic Student 204,SYN-SIS-000204,9,MATH-ALG1,Y00-SEC-002,TCH-001,active
2025-2026,0,Synthetic Student 205,SYN-SIS-000205,9,MATH-ALG1,Y00-SEC-002,TCH-001,active
2025-2026,0,Synthetic Student 206,SYN-SIS-000206,9,MATH-GEOM,Y00-SEC-005,TCH-001,active
2025-2026,0,Synthetic Student 207,SYN-SIS-000207,12,MATH-AP-CALC-BC,Y00-SEC-026,TCH-005,active
2025-2026,0,Synthetic Student 208,SYN-SIS-000208,9,MATH-GEOM,Y00-SEC-004,TCH-002,active
2025-2026,0,Synthetic Student 209,SYN-SIS-000209,11,MATH-ALG2,Y00-SEC-009,TCH-002,active
2025-2026,0,Synthetic Student 210,SYN-SIS-000210,11,MATH-AP-CALC-AB,Y00-SEC-023,TCH-005,active
2025-2026,0,Synthetic Student 211,SYN-SIS-000211,11,MATH-AP-PRECALC,Y00-SEC-018,TCH-004,active
2025-2026,0,Synthetic Student 212,SYN-SIS-000212,10,MATH-GEOM,Y00-SEC-008,TCH-002,active
2025-2026,0,Synthetic Student 213,SYN-SIS-000213,11,MATH-GEOM,Y00-SEC-003,TCH-002,active
2025-2026,0,Synthetic Student 214,SYN-SIS-000214,12,MATH-AP-CALC-AB,Y00-SEC-022,TCH-005,active
2025-2026,0,Synthetic Student 215,SYN-SIS-000215,9,MATH-GEOM,Y00-SEC-003,TCH-002,active
2025-2026,0,Synthetic Student 216,SYN-SIS-000216,9,MATH-GEOM,Y00-SEC-008,TCH-002,active
2025-2026,0,Synthetic Student 217,SYN-SIS-000217,12,MATH-AP-CALC-BC,Y00-SEC-026,TCH-005,active
2025-2026,0,Synthetic Student 218,SYN-SIS-000218,11,MATH-ALG2,Y00-SEC-011,TCH-003,active
2025-2026,0,Synthetic Student 219,SYN-SIS-000219,9,MATH-GEOM,Y00-SEC-005,TCH-001,active
2025-2026,0,Synthetic Student 220,SYN-SIS-000220,11,MATH-AP-CALC-BC,Y00-SEC-025,TCH-005,active
2025-2026,0,Synthetic Student 221,SYN-SIS-000221,9,MATH-ALG1,Y00-SEC-002,TCH-001,active
2025-2026,0,Synthetic Student 222,SYN-SIS-000222,9,MATH-GEOM,Y00-SEC-007,TCH-001,active
2025-2026,0,Synthetic Student 223,SYN-SIS-000223,11,MATH-AP-CALC-AB,Y00-SEC-024,TCH-005,active
2025-2026,0,Synthetic Student 224,SYN-SIS-000224,12,MATH-AP-CALC-BC,Y00-SEC-025,TCH-005,active
2025-2026,0,Synthetic Student 225,SYN-SIS-000225,9,MATH-ALG1,Y00-SEC-001,TCH-001,active
2025-2026,0,Synthetic Student 226,SYN-SIS-000226,11,MATH-AP-CALC-AB,Y00-SEC-023,TCH-005,active
2025-2026,0,Synthetic Student 227,SYN-SIS-000227,11,MATH-AP-CALC-AB,Y00-SEC-021,TCH-005,active
2025-2026,0,Synthetic Student 228,SYN-SIS-000228,11,MATH-AP-CALC-BC,Y00-SEC-026,TCH-005,active
2025-2026,0,Synthetic Student 229,SYN-SIS-000229,11,MATH-ALG2,Y00-SEC-009,TCH-002,active
2025-2026,0,Synthetic Student 230,SYN-SIS-000230,10,MATH-ALG2-H,Y00-SEC-015,TCH-003,active
2025-2026,0,Synthetic Student 231,SYN-SIS-000231,9,MATH-ALG1,Y00-SEC-002,TCH-001,active
